Date / Period,Business Unit / Department,Revenue (Actual),Revenue (Budget / Forecast),Cost of Goods Sold (COGS),Gross Profit,Operating Expenses (OPEX),EBITDA,Net Income,Cash Inflows,Cash Outflows,Net Cash Flow,Cash Balance,Accounts Receivable (AR),Accounts Payable (AP),Days Sales Outstanding (DSO),Days Payable Outstanding (DPO),Working Capital,Total Assets,Total Liabilities,Equity,Debt Outstanding,Debt-to-Equity Ratio,Current Ratio,Budget Variance (%),Year-over-Year Growth (%),Return on Equity (ROE),Return on Assets (ROA),Gross Margin %,Operating Margin %,EBITDA Margin %,Inventory Value,Inventory Turnover,Capital Expenditure (CapEx),Operational Expenditure (OpEx),Headcount,Cost per Employee,Sales Pipeline Value,Order Backlog
8/18/2019,Marketing,371654,164568,167830,175085,116750,107144,50150,70041,95439,95866,673175,72324,120404,89,100,29177,1568445,555527,1315357,484720,2.71,1.84,-4.93,23.49,19.7,-4.08,23.8,32.1,24.89,26216,9.88,18500,138314,3855,48491,357109,261515
6/18/2015,HR,165117,316522,184655,118085,108578,26089,50689,287163,21708,78893,861350,27988,15688,22,16,169357,1321042,2188079,2284562,1949359,2.7,2.06,26.72,44.31,11.46,17.3,78.19,46.25,5.69,452102,2.18,109544,191439,2273,121626,422830,252040
10/20/2023,Marketing,388207,406621,89758,280768,60480,42672,61216,335290,279180,49022,18622,133271,41033,23,79,-48596,2129742,607793,489671,765607,0.64,1.18,-21.24,-14.88,-1.45,15.89,63.18,8.41,9.0,181756,4.7,13023,183594,2380,184582,220483,177088
8/11/2024,HR,297166,539670,190488,71178,9359,124522,125862,30242,206898,63521,441398,139330,156243,75,27,66094,2875203,778619,925026,1710447,0.93,2.37,6.71,-5.33,2.0,2.41,45.64,27.24,33.18,171370,6.18,93558,267147,966,171342,130282,325767
8/18/2020,Marketing,499065,333407,23864,141696,104784,99196,-9747,187231,58533,-10380,213595,98957,55770,90,37,217750,3682853,101098,847461,21079,0.55,0.79,1.7,18.34,3.35,-4.19,58.61,49.25,28.23,443134,9.24,7976,41395,2021,178580,680953,160409
9/5/2015,Finance,262723,329516,90039,73453,34234,64175,-2275,46574,179277,41217,888348,74202,31564,38,43,14355,552062,643755,271732,742617,2.42,1.34,-2.23,-13.19,7.14,-1.66,64.55,39.16,34.39,489552,6.35,110272,110537,3815,135924,550987,75614
9/17/2022,Sales,308255,381061,113685,273426,61637,152223,133726,359462,180004,13421,481365,52988,98608,26,83,181733,3225208,2926012,1852209,479236,2.83,3.48,15.64,38.4,-6.48,19.16,40.74,45.05,29.03,47504,2.25,82704,60998,2826,137187,844106,369898
7/4/2021,Operations,206563,328426,83982,54062,6928,42284,5379,182936,96068,66107,322156,141398,20681,71,46,15179,2381796,480643,444028,1155266,1.58,2.77,6.55,30.59,6.95,13.77,26.12,11.78,21.89,455832,9.15,129794,282656,1395,119735,805368,484653
10/23/2023,Marketing,161882,519498,146328,60866,115427,108212,6622,370977,92039,74875,634493,39418,130211,55,14,-19997,1724501,3456687,954636,1687312,1.26,2.3,26.35,42.49,4.11,2.44,77.11,20.8,26.64,495539,2.54,99235,253695,4990,56317,962165,261486
1/19/2017,Sales,398162,284356,102280,141770,64440,150798,141318,41290,65585,91593,740007,11953,149888,13,104,184486,4086174,1709632,1938561,710200,0.8,2.75,-20.71,30.96,21.14,12.99,50.91,24.63,6.73,11736,5.12,102653,229972,1744,198465,97887,449165
9/28/2022,HR,64463,546596,66213,240919,23939,122356,15035,184875,209288,-12601,745714,144161,12303,25,51,-1914,1682662,1799136,695020,723568,1.37,1.41,10.89,42.02,3.3,-1.08,16.61,13.69,38.43,467806,9.25,24327,27917,1960,33065,882218,270977
3/19/2023,Sales,176444,281073,176058,153209,77408,160842,-19983,175818,205095,-9584,571855,96681,167699,30,15,264406,815292,2675726,2240148,1700424,0.57,2.02,20.22,47.12,-0.04,2.03,63.28,30.61,11.03,161566,7.81,191839,259015,2342,146921,538304,338405
10/28/2015,Marketing,421529,288092,123547,38988,15867,14162,137755,283117,262040,88452,762183,18694,175200,110,57,-22650,3539359,1860164,159530,1729027,2.77,1.42,11.59,-0.93,11.44,8.06,55.23,40.62,28.59,436521,2.77,169581,201285,84,70768,741010,337832
11/14/2016,HR,112987,490988,169914,47900,34619,69420,142858,267873,73318,-32194,291601,71330,44863,32,61,164918,1703947,3063984,1779493,1346264,0.61,3.04,-19.63,23.82,18.5,5.65,53.31,37.52,12.67,224847,5.45,154186,78537,251,28481,787233,412744
6/5/2017,Operations,260077,88402,110691,151298,14471,42409,89183,262391,231100,71831,780129,17134,61889,44,62,145956,1044425,3275856,575355,434211,1.9,1.15,-6.34,9.64,14.52,12.57,17.36,34.88,24.25,186065,7.73,151456,200827,2279,176059,638244,134126
6/27/2022,Finance,319273,466532,109554,69867,45919,162460,146981,367856,128209,63494,644620,156367,75533,48,57,-54332,3942229,2364084,1920354,1421346,2.76,3.34,5.2,3.51,13.21,15.31,44.72,7.17,11.7,396001,9.07,155329,274713,1414,89231,989744,204675
3/12/2022,Operations,247418,464835,95600,143612,25792,96591,138801,98705,179785,61141,347120,162289,14919,14,37,82858,2477861,84095,1996435,977347,0.16,2.54,13.52,15.75,-0.62,16.65,42.83,43.37,38.34,66843,1.24,131702,32806,2205,51855,630228,29906
5/21/2024,IT,350233,455585,83030,234251,78177,128464,67383,220741,60445,-1892,92520,162200,16337,116,94,-80020,2361737,428453,1107732,612487,2.92,3.46,20.45,35.52,11.03,12.58,24.51,42.37,30.42,272029,1.15,192816,27975,924,176312,552367,19432
5/3/2015,Marketing,387016,278164,58847,125160,57044,83380,115852,250696,234037,16425,955641,83816,78783,93,107,111655,2016001,1442211,2377764,1353435,0.85,1.15,-5.02,20.14,3.29,10.59,71.93,38.31,10.97,337599,6.96,159300,291728,3537,27194,165285,211800
3/15/2016,Operations,247250,393417,193224,238570,44046,115453,25908,133036,124469,97851,740828,77867,41841,17,70,288779,3987315,2596645,209268,887997,0.93,2.42,-18.7,-6.37,24.37,8.13,28.01,13.43,5.01,217973,9.44,127622,288812,4321,108612,565886,231899
5/9/2016,Marketing,66578,364878,145959,38347,43921,44083,108502,268486,144354,13484,885222,72452,96634,55,106,152537,3478262,2059826,1973341,175542,1.28,0.66,-26.95,33.39,19.62,5.79,27.53,6.51,30.17,115351,2.7,41173,139058,1818,138501,11444,396983
6/21/2015,IT,175496,206273,52519,241086,21106,20259,100220,90617,106904,-15993,448420,93084,49987,82,11,-80755,4816613,2145423,363218,260142,0.45,1.22,-25.65,45.12,16.85,16.53,37.66,5.41,20.15,282364,3.26,65888,125523,1544,23673,177789,263139
1/5/2017,Finance,225591,414251,70791,108638,44674,52080,146361,88427,84278,38455,696976,63476,80581,53,31,-42467,3761275,3233218,2866239,288177,2.65,1.33,-18.94,45.83,17.37,6.62,22.69,17.84,25.48,245833,2.9,184712,164932,886,90843,521934,203943
3/28/2018,Finance,193335,471067,155924,55890,126903,153750,-11326,200160,297966,-37317,329476,45796,151652,111,82,266345,892284,2320522,2393020,1674476,0.43,3.1,-8.73,39.45,14.36,-1.53,29.99,47.29,34.15,303635,5.58,56329,60799,1101,153205,311355,129908
12/3/2016,Operations,77918,468827,46215,106019,45759,49564,37085,58373,27600,-34015,178266,13837,138298,42,23,-55909,1757724,359895,2890935,882117,0.19,3.23,-15.0,45.95,8.58,-4.95,27.09,14.27,7.06,230158,9.56,117352,124933,4663,124247,698720,240820
8/6/2021,Operations,66350,210120,75145,184248,22421,53502,95166,70642,286703,67012,413931,193758,155524,106,94,-66591,4700305,1907084,2852935,1221794,2.32,1.84,20.54,8.09,2.48,4.65,74.32,45.49,34.45,230501,7.66,101601,128365,584,83276,38192,111939
11/30/2019,IT,497943,462971,182350,23075,140702,165044,124588,259349,187885,-845,425899,72254,14282,119,72,567,4452676,3551764,1518221,440231,1.93,2.52,29.33,47.31,23.72,4.43,50.87,7.9,34.89,124186,1.0,148785,197775,3820,50030,413347,287370
10/26/2021,IT,305972,288111,115810,200504,109202,8003,-13845,394969,47543,47681,245722,52582,50958,80,30,230402,936336,3408736,211532,933086,1.27,1.03,28.24,34.22,-6.71,15.27,79.79,47.88,29.89,202000,6.37,111087,87632,3316,177443,337954,105736
7/21/2023,Sales,363798,105869,142354,178612,139511,145723,55809,331179,132599,61432,216859,175210,23719,88,85,127408,2355627,1383263,1037139,475736,0.46,2.56,0.02,-10.51,-8.66,15.32,18.03,15.1,11.02,101976,8.95,186388,213833,1359,197201,609588,27898
3/4/2019,IT,450623,147694,24161,62204,45152,87925,-12635,165624,50698,-32684,910511,81223,110537,73,109,-15680,3356502,1258119,1052113,108371,2.96,2.25,16.65,11.26,19.02,-3.42,20.0,5.09,36.78,445375,4.06,67109,293566,980,24756,183123,159242
10/3/2021,Marketing,228587,513795,53163,166050,27592,95752,6320,47117,284652,57772,614102,28983,135288,89,25,72713,422239,1701686,2175663,1246150,0.61,3.37,5.66,29.43,21.09,11.32,61.27,42.55,32.24,279460,8.59,16130,267461,2011,52104,636008,313036
7/15/2023,Sales,125573,139925,72384,117768,145102,153603,12179,159475,193244,9000,753540,49654,191906,67,44,156361,934569,95191,2054283,1638944,1.42,3.13,-25.14,13.44,-7.46,1.3,75.96,14.22,34.81,367674,1.39,172158,83285,2636,170941,18557,311203
2/19/2019,HR,358418,411951,110392,266463,16047,172387,126660,367405,281037,40206,481415,130582,10209,56,115,52243,2600803,2725516,827577,277660,0.64,2.39,-14.69,24.08,-2.78,13.27,32.16,27.3,11.66,101707,1.1,151569,178105,4293,150132,456404,119151
1/11/2015,IT,304178,160393,20665,171031,142860,198795,-16744,399868,60423,5383,18766,80006,65031,34,64,-70270,3148577,1322865,430011,1700397,0.83,0.67,-21.41,21.31,16.46,-4.3,68.09,10.67,25.73,248507,2.95,81043,19080,3009,104816,117629,400436
1/4/2017,Marketing,57080,467595,169451,148058,123961,126722,111226,70955,93699,62922,662889,34175,173072,50,18,123307,208637,2710382,1114777,635517,2.61,1.61,-18.35,25.03,20.4,0.98,23.82,8.33,14.06,10166,8.81,157041,14643,1372,80651,149448,46810
1/2/2018,Operations,153425,205754,53061,103767,56942,160709,70742,354767,242073,84769,636310,127959,133403,41,46,24228,670364,1583609,2469152,1823295,2.03,1.22,17.74,32.4,21.6,-3.02,60.61,29.8,38.36,308610,1.32,65530,180217,2655,33061,542015,455246
8/23/2017,HR,181419,372872,89602,180689,44324,26168,139972,268207,59033,89031,740283,89817,192460,84,67,88403,3168856,1603600,1777169,454421,0.17,1.91,2.98,16.27,-0.12,14.06,21.33,11.65,16.31,423701,6.93,28805,255976,2604,96382,464938,128018
7/25/2016,IT,134948,517998,86236,46858,33066,175593,77485,154864,200479,38252,419470,68938,55903,56,48,249935,2366246,996497,1820646,1193600,1.1,2.68,-25.16,-5.82,8.72,1.75,50.37,21.13,28.52,209527,6.78,12131,121707,2758,86811,652147,121910
2/12/2021,Sales,70708,196717,196940,144806,59396,147378,101420,263186,33511,54139,612392,39123,42919,12,83,-1695,2457641,1951313,2713734,1236746,2.87,2.99,-9.47,34.8,3.83,-0.76,42.62,44.71,24.6,84468,9.16,111255,190207,1444,155438,295887,249619
3/16/2020,Sales,407267,371296,198121,84111,15146,118991,38080,263867,170279,54105,17772,81701,97044,51,90,3554,2120039,384255,191893,1580563,1.91,1.34,21.88,26.67,12.81,1.8,66.75,29.37,8.58,337638,5.58,63312,153000,1359,174362,54984,47137
1/30/2017,HR,213116,541169,76581,228416,113648,83975,125924,359953,250259,70899,353750,11641,179359,37,21,-75470,2181994,3585566,1473299,365758,2.93,2.34,19.37,40.62,7.88,17.13,36.36,19.44,29.03,487946,8.85,138230,179779,323,47707,699892,427166
6/2/2015,Operations,492583,459917,148563,272444,133939,111549,-19972,380444,226959,-49211,123697,53556,190116,105,13,5294,2165943,1975391,1116781,567331,2.23,1.48,12.43,34.87,6.26,15.5,47.56,23.27,30.2,484667,6.64,185308,205287,4100,102558,982409,296599
12/18/2017,Operations,406897,233828,82526,50528,130939,129393,70031,70102,53469,45276,691166,195505,31670,44,38,107684,3436385,2946745,1776488,229693,2.65,2.11,-2.37,37.91,16.57,16.38,40.0,39.7,25.28,307324,6.74,149371,283335,2624,43862,612720,299936
10/23/2018,Marketing,416656,265804,176883,35763,109023,145232,23763,278291,133070,55336,402780,66787,51716,11,22,299677,2793640,887645,1707030,657009,0.55,2.79,9.16,15.25,8.03,0.55,11.15,13.2,33.99,89381,2.62,19066,225614,3181,78056,582221,140732
6/10/2020,Sales,169189,464754,113202,71387,51968,51804,-9402,384724,95105,78499,796803,165261,53707,33,92,183730,1941224,2064889,2685776,1474659,0.7,0.57,5.3,-11.31,18.2,-3.15,34.77,9.18,38.42,403146,6.18,9942,30365,3019,40469,228091,470931
4/8/2023,IT,366713,219173,126851,16408,148490,161791,88878,135823,96041,67712,504439,20159,96062,57,14,294492,3143573,2802176,1447516,1718966,1.38,2.74,-22.73,48.31,-2.63,-4.81,45.18,16.2,23.96,65234,3.91,137929,295982,4350,111277,975871,106267
4/19/2021,Operations,284595,207300,191094,128515,78558,181017,-10845,272418,177092,14839,145749,45114,132046,35,11,47877,2791934,2458534,292190,109890,1.35,1.58,26.29,-4.62,12.99,14.71,55.94,7.44,9.24,329858,3.55,175882,220705,4938,179303,300553,69433
1/7/2016,HR,296888,86548,121982,295173,31698,70527,63328,202839,233155,50086,758887,161325,124792,26,108,-62627,3679533,3851475,598572,1536164,2.08,0.79,-9.89,-12.48,6.81,-4.59,38.47,41.1,13.45,282211,5.37,156684,218586,4790,68255,740325,69117
12/13/2020,HR,316466,156587,144570,264915,149796,89694,23541,332072,43181,97014,272110,8031,10523,32,51,85920,1692761,874319,122112,882779,1.53,2.85,25.86,44.29,23.04,2.56,60.14,36.49,11.3,231354,1.73,103399,188320,1532,198943,202755,128458
3/21/2022,Operations,272282,408679,167068,50211,138067,124059,120022,110544,56825,-30457,248326,161089,13013,68,63,-84494,1244053,1956666,2670642,1540809,0.17,2.66,15.98,-15.72,15.65,-4.87,32.21,28.68,30.79,448844,7.04,177525,139796,288,70390,782004,42131
10/6/2015,HR,200066,505550,51585,145342,60591,113586,22503,53541,213965,87530,812065,13942,103912,118,111,49963,2143158,875899,2749361,1185268,0.14,3.37,-3.82,36.85,15.26,18.75,54.02,37.52,26.95,327605,9.61,91514,298278,2311,118306,436265,270762
4/15/2017,Operations,200581,112507,79909,188223,130142,136565,26750,108876,194257,14467,142072,126770,170552,74,101,132675,3199161,3314665,877751,647054,1.45,3.27,-26.29,-4.39,19.83,18.48,71.57,48.04,32.27,163392,8.55,199597,81377,3550,85812,804069,78325
3/6/2019,Operations,251404,270551,72833,191526,68670,149863,50122,282000,20340,-13790,785344,159901,32702,55,17,212924,2799343,2269236,1305049,1497560,1.59,2.87,21.73,47.44,-3.63,3.83,76.31,30.41,37.78,402323,5.37,161757,278343,175,32717,267479,191503
11/18/2017,Finance,376506,282597,42296,68216,83306,66273,81674,107475,41925,-35257,604194,29577,51207,105,19,75532,4724943,713633,2614086,838916,1.02,3.4,-23.82,35.69,2.88,10.19,33.88,27.72,8.67,427168,1.42,79998,154576,4828,187574,942264,240921
8/20/2024,Finance,435282,232322,128263,287573,43570,132092,138446,141184,153158,-20545,62248,85210,113788,30,47,132974,3353666,383732,2747016,1574971,1.37,1.37,-11.33,49.96,-6.45,2.46,70.45,36.53,31.73,461500,4.72,87705,249241,1590,80804,606034,263421
12/8/2022,Finance,356606,508963,141061,87883,131153,107546,133958,395627,224674,81297,687178,136954,70975,17,68,93963,4726116,1515826,1868612,304845,1.35,3.35,-15.71,18.15,22.57,15.93,38.84,6.69,12.31,96634,9.6,142268,183997,3888,151542,184688,465567
8/26/2018,Sales,312001,516499,100471,164607,113989,146692,5470,157868,278117,25030,202760,69118,179336,36,46,-48781,298260,1795469,1027286,1276369,2.16,2.91,28.66,8.4,-1.03,19.42,62.03,14.85,7.81,378165,1.31,145216,213979,1812,69860,348119,344373
11/4/2015,IT,110774,462509,199851,271517,38734,12594,106642,253242,138069,9779,966740,159606,117211,92,36,6734,4991563,3736540,937357,965385,0.15,2.71,-7.25,-9.91,20.13,-0.58,21.02,11.86,15.91,324467,6.64,58974,293832,4153,65298,325874,67138
7/5/2021,IT,66846,216161,81615,259157,122866,86885,-14878,160248,117794,-35589,604119,109239,164092,65,91,238469,2139246,545742,90210,1473409,2.27,3.09,-24.14,21.34,21.58,12.73,34.49,49.7,18.3,272222,6.06,191981,51341,841,108413,142252,245509
4/8/2018,IT,293209,318642,162707,188851,90078,140454,5570,200129,231322,-4099,418719,77067,150609,16,90,149921,4994122,1615817,2600946,1807312,0.26,3.29,-8.62,17.17,19.93,18.16,12.17,29.29,8.14,30239,3.35,198628,120418,2138,90772,335852,178561
5/21/2018,IT,417400,491209,56167,144896,90599,83077,99642,95039,21711,14283,720527,6392,74631,55,62,-41264,2413521,303524,713922,261713,2.33,1.56,-17.15,21.75,-4.83,17.09,20.34,22.78,8.68,323119,2.55,135308,80951,1561,180057,792160,34924
7/3/2019,Marketing,402390,218914,114771,284546,84957,172645,27800,282040,177694,-14529,773845,174705,128694,74,45,77383,1578534,974492,375136,155696,0.19,0.81,-16.58,-14.76,6.06,9.93,71.71,10.93,30.37,134962,2.21,26572,269009,158,109007,363791,235600
8/11/2024,Operations,372612,270254,139636,235148,68620,116172,-2021,314483,91830,66414,452596,158171,86635,32,48,213853,1053983,1057856,1738437,569099,1.3,1.65,-29.06,14.09,-2.9,2.37,54.08,18.71,19.91,394415,5.89,121514,208369,3005,72764,761778,344604
5/7/2022,IT,186883,338046,147216,45059,147975,152262,73415,106234,281800,99373,682797,107705,198525,84,85,265760,4496068,3608072,1034620,995891,0.35,1.97,-13.67,-5.42,-0.87,3.4,27.82,38.47,15.56,232267,4.14,77844,147147,639,139866,204165,322360
12/16/2019,Marketing,282751,183640,190603,86818,62656,58221,104735,298097,286482,68841,122954,77939,70736,62,23,-13758,2392834,3572604,1214638,1837839,1.39,2.33,-7.17,30.56,-2.17,7.69,47.01,11.92,8.85,167365,5.14,62745,199192,2208,184498,843031,271150
3/7/2019,Sales,52599,165449,125914,75958,21341,54997,135647,292100,208246,13425,462707,87396,91457,67,47,35786,4984976,1741463,1917733,500351,2.43,0.69,3.49,3.37,5.8,1.09,26.05,44.22,25.75,323811,9.98,68785,14082,3389,171394,209247,245096
10/18/2024,Operations,148123,329502,63584,175785,101353,165310,75864,318317,51390,11204,918287,62779,89249,105,62,223538,4383468,3168662,2110800,422156,1.58,2.58,-16.85,4.86,-4.15,12.5,62.92,19.84,11.18,47213,7.91,106421,199341,4557,46478,282442,447385
12/23/2017,Finance,65060,454347,196559,97287,110325,140640,-2584,110587,92308,-22030,448399,49276,33909,41,108,117107,745765,790125,1276123,288500,2.34,0.69,13.01,-4.36,-9.27,3.87,79.44,30.35,10.86,293201,3.43,171259,246832,1215,108450,915086,449556
5/26/2023,Sales,324107,379354,65039,285096,36291,81571,130016,154901,44359,90461,470600,176313,158385,104,103,73033,2278418,2738124,1179842,1915981,1.11,1.21,-19.86,40.66,20.08,10.34,37.21,47.48,36.51,384077,6.09,69494,133462,3297,146685,841483,439103
2/8/2023,Sales,132024,275708,92772,29025,128713,37403,-15717,135237,230298,45327,423987,24498,45042,49,101,147132,1623722,1801724,760412,1350785,0.98,2.56,22.03,22.27,8.68,5.12,60.32,22.17,26.38,294554,2.49,120376,70224,1935,142169,917741,26044
12/15/2016,Operations,125924,460891,104263,274569,34326,59836,-2464,282810,128318,-1963,465250,64406,79865,105,14,18963,4027099,3664563,2819546,675607,2.32,0.99,18.9,-3.58,8.0,10.1,51.59,28.16,12.78,455856,2.73,72809,279420,3940,71508,120160,351166
3/15/2024,Marketing,295918,256428,125208,201521,47016,96309,131692,144993,177174,-12835,808686,158432,24934,118,113,17961,1659637,747972,79083,1168244,2.78,3.18,22.7,44.07,-7.97,-2.52,10.21,42.45,21.99,372714,7.99,92673,139761,4947,29040,937570,140912
6/20/2024,Sales,303555,465349,35137,63961,100072,176270,96923,252923,199336,-27794,779785,33551,168439,50,36,-7212,3564556,3855122,1866709,1679697,0.27,2.56,-15.76,31.5,15.9,9.17,20.4,32.35,26.93,13928,5.97,16070,62226,344,139358,752329,39786
8/19/2017,Operations,472696,232344,178928,111635,118673,77652,5745,304552,100790,74087,801185,13389,50186,109,15,-26015,2428007,1115432,1902379,1479927,2.37,1.46,-29.43,-14.88,-0.72,8.06,75.67,37.92,11.73,444789,8.19,59524,166659,4888,29075,393508,119187
2/22/2019,Operations,358646,282992,74659,117001,111531,26619,46000,99711,97727,-23139,656491,6584,153976,67,45,-50037,1341687,801549,181442,88839,2.14,1.52,8.43,26.53,-4.39,3.75,62.42,42.42,24.2,153299,3.74,24651,94038,4072,189333,750504,54430
8/24/2019,Marketing,376369,181088,168481,39985,144463,57067,93019,248948,30599,-23191,598460,85593,76955,116,64,-21040,1226968,2362087,1301769,1102863,1.25,1.3,3.65,27.83,5.53,1.81,22.85,19.57,26.67,252659,4.0,100850,110253,3818,162379,328931,255184
12/17/2016,Sales,138312,159023,115185,153145,141736,40669,-19134,313092,290944,30433,465192,98170,121730,78,79,253596,1048083,2721869,2480285,1575240,2.54,0.73,20.14,35.26,10.62,2.23,29.94,46.45,24.3,16181,7.02,46235,42986,2680,184796,326258,346222
6/20/2019,Sales,361774,77329,85788,209709,38039,5282,146842,75120,97977,28784,930063,190550,90417,26,74,211728,3055081,943491,111777,726965,2.5,0.76,-27.49,11.67,13.3,18.23,44.74,13.54,14.72,467851,7.88,63502,53984,3755,40056,10064,186460
6/20/2021,Operations,184758,517315,153008,237913,24966,165916,122913,158339,192636,57901,33602,168164,138578,28,65,236963,2485690,1585352,412983,672637,0.33,2.71,-28.28,4.86,-8.12,4.48,14.2,46.21,7.05,340631,4.95,168948,231402,2207,87527,836297,236957
10/16/2020,Finance,493572,488112,169784,240856,71398,146452,41666,238285,64700,6472,314698,21602,31330,93,79,-74617,698286,1267132,1269169,1285607,2.34,3.24,-18.34,30.27,14.75,-1.03,47.61,30.44,8.76,234798,5.26,19429,262736,1039,84608,772479,177152
6/19/2020,Sales,382035,427938,50357,232002,132289,195940,87010,94670,129063,-21575,995863,114682,12057,65,31,72839,2818339,3215943,2218153,1537250,1.3,1.35,12.16,24.09,19.03,19.96,55.04,29.65,23.39,188695,2.81,96691,63151,1971,143879,34721,134932
5/1/2024,Sales,110411,181550,140686,98878,86826,19001,-13834,64999,231462,62376,359884,152724,16062,85,40,109315,3994128,3957297,922097,1234111,1.36,0.87,13.9,32.25,21.01,15.78,34.13,5.31,18.7,19729,1.85,141208,120170,4816,124306,582611,227880
9/1/2021,Marketing,278444,289973,50111,288494,37078,121148,65663,72373,95122,-41094,363346,69595,130145,86,28,-29157,2632087,3221492,2868106,410019,2.57,1.21,-1.26,31.0,9.02,-2.43,22.64,30.73,28.22,303992,4.54,20451,251614,37,51714,534775,397356
6/16/2021,Marketing,370796,511674,73360,181475,50729,52925,70646,364682,234342,-16907,126477,120779,73516,75,97,169271,2467801,3366352,1391281,322390,2.66,1.25,-5.91,40.6,-4.66,-3.82,19.24,35.45,26.7,453327,3.05,9107,257451,662,29109,483803,276177
6/3/2024,Marketing,77576,283837,32838,28793,71130,176860,57567,89011,228969,-30195,613130,34109,19620,37,26,150356,2292592,1103729,2980416,718848,2.27,1.4,23.84,-19.8,17.77,19.73,47.38,37.92,29.24,251255,4.0,149165,194049,2013,68614,497480,275265
7/25/2018,IT,62560,248257,160626,249109,132362,44255,63298,40973,246014,-11459,146106,179029,54227,88,101,22715,3057778,1050171,2753026,733673,0.51,2.72,3.02,-12.28,-2.06,7.49,28.55,31.59,5.28,487279,7.87,191579,88714,494,53537,401619,224702
