Invoice Date,Customer ID,Invoice ID,Invoice Amount,Payment Term (Days),Payment Date,Days Delayed,Collected Amount,Outstanding Amount,Credit Note,Region,Segment
5/7/2025,CUST_C,INV-6439,5044.2,45,7/11/2025,20,4536.23,507.97,0,East,Enterprise
5/8/2025,CUST_D,INV-6707,20526.32,60,8/31/2025,55,17954.81,2571.51,0,South,SME
5/8/2025,CUST_C,INV-6668,5454.11,60,8/2/2025,26,5285.48,0,312.94,East,SME
5/8/2025,CUST_B,INV-6478,23077.35,60,7/7/2025,0,18782.99,3960.43,333.93,East,SME
5/8/2025,CUST_E,INV-6579,7666.08,45,7/8/2025,16,6149.12,1192.38,324.58,South,Mid-Market
5/8/2025,CUST_C,INV-6406,11294.1,45,7/17/2025,25,10743.67,454.47,95.96,East,Enterprise
5/8/2025,CUST_E,INV-6124,19322.11,60,7/29/2025,22,15751.12,3296.14,274.85,South,Enterprise
5/8/2025,CUST_D,INV-6793,13213.69,45,8/26/2025,65,12207.78,1005.91,0,East,Mid-Market
5/9/2025,CUST_E,INV-6813,16288.62,30,6/14/2025,6,16003.93,0,486.99,East,Enterprise
5/9/2025,CUST_D,INV-6319,12795.26,45,8/23/2025,61,11759.84,1035.42,0,North,Mid-Market
5/9/2025,CUST_D,INV-6710,23342.08,45,8/27/2025,65,23056.08,286,0,East,SME
5/10/2025,CUST_C,INV-6647,18071.87,60,7/28/2025,19,16774.8,1297.07,0,North,Mid-Market
5/10/2025,CUST_C,INV-6342,19960.72,45,7/12/2025,18,17672.51,2078.54,209.67,East,Enterprise
5/10/2025,CUST_A,INV-6879,19696.39,30,6/6/2025,-3,17786.95,1571.64,337.8,North,SME
5/10/2025,CUST_C,INV-6576,16183,30,6/30/2025,21,15392.81,790.19,0,North,Enterprise
5/10/2025,CUST_B,INV-6146,23954.26,45,6/26/2025,2,20051.09,3603.07,300.1,North,Enterprise
5/11/2025,CUST_A,INV-6665,8015.08,30,6/7/2025,-3,6682.22,1332.86,0,East,Mid-Market
5/11/2025,CUST_C,INV-6859,9766.29,30,7/3/2025,23,9549.32,216.97,0,East,SME
5/11/2025,CUST_A,INV-6270,5205.06,60,7/10/2025,0,4845.18,0,362.88,East,Mid-Market
5/11/2025,CUST_A,INV-6101,18528.5,45,6/24/2025,-1,15700.3,2828.2,0,North,Enterprise
5/11/2025,CUST_A,INV-6789,12690.08,45,6/27/2025,2,11124.55,1565.53,0,South,SME
5/11/2025,CUST_A,INV-6748,24240.67,30,6/11/2025,1,20823.66,3204.47,212.54,East,Mid-Market
5/12/2025,CUST_A,INV-6894,5305.15,60,7/13/2025,2,4693.87,264.64,346.64,North,SME
5/12/2025,CUST_D,INV-6648,23625.73,60,9/12/2025,63,21889.42,1557.91,178.4,West,Mid-Market
5/12/2025,CUST_E,INV-6496,20307.84,30,6/8/2025,-3,19078.98,1228.86,0,West,Mid-Market
5/12/2025,CUST_A,INV-6661,5145.02,60,7/8/2025,-3,4168.15,790.64,186.23,South,Enterprise
5/12/2025,CUST_E,INV-6960,17398.88,45,7/8/2025,12,15035.34,2363.54,0,West,SME
5/12/2025,CUST_D,INV-6494,17197.18,45,8/26/2025,61,13986.87,3166.75,43.56,East,Mid-Market
5/12/2025,CUST_B,INV-6472,19582.24,60,7/13/2025,2,17605.92,1976.32,0,East,Enterprise
5/12/2025,CUST_D,INV-6355,17745.4,60,9/7/2025,58,16852.48,892.92,0,North,Mid-Market
5/12/2025,CUST_D,INV-6255,22219.25,60,9/9/2025,60,22018.57,200.68,0,East,Enterprise
5/12/2025,CUST_B,INV-6119,11502.7,60,7/11/2025,0,10690.07,621.01,191.62,South,Mid-Market
5/12/2025,CUST_A,INV-6523,5852.84,30,6/10/2025,-1,4875.87,819.29,157.68,West,Mid-Market
5/13/2025,CUST_B,INV-6193,23684.14,30,6/15/2025,3,19179.26,4143.73,361.15,East,Mid-Market
5/13/2025,CUST_E,INV-6975,10948.91,60,8/10/2025,29,10656.09,292.82,0,East,SME
5/13/2025,CUST_C,INV-6435,18682.1,60,8/2/2025,21,16220.32,2461.78,0,East,Enterprise
5/13/2025,CUST_D,INV-6918,16733.85,30,8/14/2025,63,13964.78,2714.83,54.24,North,Mid-Market
5/14/2025,CUST_E,INV-6099,12400.2,30,6/27/2025,14,10565.09,1534.47,300.64,North,Enterprise
5/14/2025,CUST_E,INV-6608,5188.9,60,7/15/2025,2,4740.51,448.39,0,West,SME
5/14/2025,CUST_B,INV-6800,21648.9,60,7/13/2025,0,17665.85,3725.23,257.82,North,Enterprise
5/14/2025,CUST_D,INV-6477,22619.56,45,8/24/2025,57,22553.09,66.47,0,North,Enterprise
5/15/2025,CUST_D,INV-6543,5215.19,60,9/17/2025,65,4313.58,466.93,434.68,South,Enterprise
5/15/2025,CUST_C,INV-6084,8227.15,60,8/1/2025,18,8098.22,0,208.06,North,Enterprise
5/16/2025,CUST_B,INV-6243,10217.85,60,7/14/2025,-1,9095.47,1122.38,0,South,Mid-Market
5/16/2025,CUST_C,INV-6667,19013.87,30,7/9/2025,24,18111.68,754.27,147.92,South,Mid-Market
5/16/2025,CUST_B,INV-6529,24118.28,30,6/17/2025,2,20929.46,2833.67,355.15,North,Enterprise
5/16/2025,CUST_C,INV-6098,9143.66,30,7/15/2025,30,9094.6,49.06,0,South,Enterprise
5/16/2025,CUST_D,INV-6542,15858.11,30,8/10/2025,56,14070.3,1787.81,0,North,Mid-Market
5/16/2025,CUST_C,INV-6402,10554.67,45,7/17/2025,17,9296.19,1258.48,0,East,Mid-Market
5/16/2025,CUST_E,INV-6066,21064.19,45,7/23/2025,23,19013.42,1837.78,212.99,North,Enterprise
5/17/2025,CUST_E,INV-6481,22091.07,60,8/12/2025,27,20620.39,1078.77,391.91,West,Enterprise
5/17/2025,CUST_B,INV-6820,20134.21,45,7/2/2025,1,17942.97,2191.24,0,South,Mid-Market
5/17/2025,CUST_D,INV-6302,9234.52,45,8/26/2025,56,8430.05,804.47,0,North,SME
5/18/2025,CUST_A,INV-6837,21765.52,45,7/4/2025,2,18743.91,3021.61,0,South,SME
5/18/2025,CUST_C,INV-6772,24161.61,60,8/8/2025,22,20748.05,3413.56,0,West,Enterprise
5/18/2025,CUST_A,INV-6452,14577.63,60,7/15/2025,-2,11916.89,2660.74,0,South,Enterprise
5/18/2025,CUST_A,INV-6107,8240.46,45,7/4/2025,2,7008.02,1232.44,0,West,SME
5/18/2025,CUST_B,INV-6637,20812.88,60,7/18/2025,1,19707.39,1105.49,0,South,Enterprise
5/18/2025,CUST_D,INV-6191,13479.43,30,8/19/2025,63,13149.04,0,407.01,East,Mid-Market
5/18/2025,CUST_E,INV-6318,22371.45,30,6/29/2025,12,19910.7,1998.38,462.37,West,SME
5/18/2025,CUST_D,INV-6343,24150.77,45,9/5/2025,65,23842.24,28.69,279.84,South,Mid-Market
5/18/2025,CUST_B,INV-6303,20366.79,30,6/18/2025,1,17367.96,2565.28,433.55,South,Enterprise
5/19/2025,CUST_E,INV-6179,24331.95,30,7/16/2025,28,24166.7,165.25,0,North,SME
5/19/2025,CUST_B,INV-6018,10682.97,30,6/20/2025,2,10055.13,627.84,0,South,SME
5/19/2025,CUST_E,INV-6042,22331.19,60,7/19/2025,1,17986.79,4344.4,0,South,SME
5/19/2025,CUST_C,INV-6611,14606.68,60,8/13/2025,26,14342.38,264.3,0,West,Mid-Market
5/20/2025,CUST_C,INV-6415,7586.41,60,8/4/2025,16,7289.45,168.39,128.57,North,Mid-Market
5/20/2025,CUST_A,INV-6592,20859.9,45,7/3/2025,-1,18970.02,1581.78,308.1,South,SME
5/20/2025,CUST_B,INV-6381,21146.23,45,7/6/2025,2,17688.04,3280.79,177.4,South,Mid-Market
5/20/2025,CUST_E,INV-6934,18419.63,30,6/16/2025,-3,15047.65,3261.98,110,North,SME
5/20/2025,CUST_C,INV-6534,7483.04,60,8/5/2025,17,6721.09,503.83,258.12,West,SME
5/21/2025,CUST_A,INV-6504,12009.88,45,7/2/2025,-3,10149.77,1860.11,0,East,Enterprise
5/21/2025,CUST_A,INV-6200,19527.88,45,7/4/2025,-1,16646.93,2840.06,40.89,South,SME
5/21/2025,CUST_E,INV-6501,21451.38,45,7/28/2025,23,18503.76,2528.55,419.07,East,SME
5/21/2025,CUST_B,INV-6178,18801.75,30,6/20/2025,0,15137.83,3663.92,0,South,Enterprise
5/22/2025,CUST_A,INV-6145,22756.3,60,7/18/2025,-3,21261.68,1494.62,0,North,Mid-Market
5/22/2025,CUST_B,INV-6700,16401.38,30,6/22/2025,1,13915.79,2148.76,336.83,West,Enterprise
5/22/2025,CUST_D,INV-6297,14934.61,60,9/18/2025,59,12425.03,2110.24,399.34,South,SME
5/22/2025,CUST_B,INV-6587,8894.45,30,6/23/2025,2,8079.62,668.63,146.2,East,SME
5/23/2025,CUST_C,INV-6137,21887.73,60,8/20/2025,29,18191.39,3696.34,0,East,Enterprise
5/23/2025,CUST_B,INV-6369,6678.14,30,6/24/2025,2,6568.61,0,494.26,North,Mid-Market
5/23/2025,CUST_B,INV-6139,24647.35,45,7/10/2025,3,21728.23,2890.21,28.91,East,Enterprise
5/23/2025,CUST_B,INV-6162,15392.85,45,7/5/2025,-2,13095.57,2297.28,0,South,Enterprise
5/23/2025,CUST_E,INV-6106,8566.64,30,7/19/2025,27,7742.34,425.32,398.98,West,SME
5/23/2025,CUST_D,INV-6540,19291.39,60,9/23/2025,63,18042.25,1249.14,0,North,Enterprise
5/23/2025,CUST_E,INV-6503,13659.02,30,6/19/2025,-3,12879.02,780,0,West,Enterprise
5/23/2025,CUST_A,INV-6591,12869.83,30,6/22/2025,0,10630.78,2170.22,68.83,West,SME
5/24/2025,CUST_E,INV-6775,10738.54,45,7/4/2025,-4,9561.68,1169.38,7.48,South,Enterprise
5/24/2025,CUST_D,INV-6141,22461.66,60,9/18/2025,57,22064.5,397.16,0,East,SME
5/24/2025,CUST_E,INV-6330,15479.27,45,8/1/2025,24,13641.04,1804.54,33.69,West,Mid-Market
5/25/2025,CUST_D,INV-6657,6470.33,30,8/23/2025,60,6386.73,0,386.34,West,Mid-Market
5/25/2025,CUST_E,INV-6956,15659.37,30,7/18/2025,24,15374.68,127.5,157.19,East,SME
5/25/2025,CUST_B,INV-6359,20969.87,30,6/27/2025,3,17272.54,3300.58,396.75,West,Enterprise
5/25/2025,CUST_A,INV-6633,14411.73,60,7/22/2025,-2,12564.63,1357.21,489.89,West,Mid-Market
5/26/2025,CUST_A,INV-6732,17686.08,60,7/22/2025,-3,17114.31,467.99,103.78,East,SME
5/27/2025,CUST_E,INV-6412,17953.78,60,8/5/2025,10,17880.92,72.86,0,South,Mid-Market
5/27/2025,CUST_A,INV-6600,17111.28,45,7/9/2025,-2,15331.26,1491.28,288.74,East,SME
5/27/2025,CUST_D,INV-6721,21439.52,60,9/22/2025,58,19436.06,2003.46,0,East,Mid-Market
5/27/2025,CUST_B,INV-6241,24530.1,45,7/14/2025,3,20219.89,4026.55,283.66,North,SME
5/27/2025,CUST_C,INV-6487,24503.94,30,7/19/2025,23,21512.04,2652.13,339.77,East,SME
5/27/2025,CUST_B,INV-6556,15129.71,45,7/11/2025,0,13220.04,1773.52,136.15,South,SME
5/27/2025,CUST_D,INV-6819,5569.91,60,9/27/2025,63,5433.82,0,298.44,South,Enterprise
5/27/2025,CUST_C,INV-6541,17732.65,45,7/28/2025,17,15773.78,1958.87,0,East,Enterprise
5/27/2025,CUST_D,INV-6509,12506.63,30,8/28/2025,63,11940.84,530.45,35.34,South,Mid-Market
5/27/2025,CUST_E,INV-6182,15579.16,45,7/29/2025,18,13938.18,1610.66,30.32,East,SME
5/28/2025,CUST_E,INV-6261,23435.96,30,7/25/2025,28,22816.74,157.87,461.35,East,Mid-Market
5/28/2025,CUST_A,INV-6274,8295.06,60,7/25/2025,-2,8241.34,0,83.9,West,SME
5/28/2025,CUST_A,INV-6247,19298.67,45,7/10/2025,-2,19119.48,179.19,0,North,Mid-Market
5/28/2025,CUST_A,INV-6942,12355.87,30,6/27/2025,0,10796.05,1528.16,31.66,East,Mid-Market
5/28/2025,CUST_A,INV-6363,18677,45,7/12/2025,0,18422.71,254.29,0,North,Mid-Market
5/29/2025,CUST_E,INV-6904,14317.76,30,7/24/2025,26,12689.58,1563.01,65.17,East,SME
5/29/2025,CUST_A,INV-6429,6202.28,30,6/27/2025,-1,5664.24,538.04,0,East,SME
5/29/2025,CUST_E,INV-6694,21337.84,45,7/8/2025,-5,20442.9,894.94,0,North,Mid-Market
5/29/2025,CUST_D,INV-6945,9123.27,30,9/1/2025,65,8883.41,90.48,149.38,South,Mid-Market
5/30/2025,CUST_D,INV-6983,7291.44,30,8/31/2025,63,6872.11,103.79,315.54,East,Mid-Market
5/30/2025,CUST_A,INV-6202,15595.13,45,7/13/2025,-1,14171.52,1423.61,0,South,Mid-Market
5/30/2025,CUST_B,INV-6419,21580.07,30,6/28/2025,-1,18365.16,3214.91,0,North,Enterprise
5/30/2025,CUST_D,INV-6735,15763.07,60,9/25/2025,58,13108.47,2388.2,266.4,North,Mid-Market
5/30/2025,CUST_D,INV-6896,11674.01,60,9/26/2025,59,11383.05,200.41,90.55,North,Mid-Market
5/30/2025,CUST_A,INV-6965,21141.28,45,7/13/2025,-1,17352.02,3789.26,0,South,Enterprise
5/30/2025,CUST_A,INV-6045,9983.89,60,7/28/2025,-1,8192.85,1695.11,95.93,East,Enterprise
5/31/2025,CUST_D,INV-6136,9074.18,30,8/24/2025,55,7778.74,850.5,444.94,East,SME
5/31/2025,CUST_B,INV-6326,6530.08,30,6/28/2025,-2,5514.49,1015.59,0,East,Mid-Market
5/31/2025,CUST_A,INV-6891,12663.64,45,7/13/2025,-2,11413.33,1250.31,0,West,Enterprise
5/31/2025,CUST_E,INV-6653,24733.24,60,8/29/2025,30,23607.24,1126,0,West,Enterprise
5/31/2025,CUST_A,INV-6315,5296.64,30,6/30/2025,0,4593.11,703.53,0,East,Mid-Market
5/31/2025,CUST_C,INV-6558,10942.32,60,8/23/2025,24,10415.95,465.86,60.51,East,Mid-Market
5/31/2025,CUST_D,INV-6167,15851.26,60,9/30/2025,62,13150.19,2701.07,0,East,SME
6/1/2025,CUST_D,INV-6844,15046.23,60,10/3/2025,64,12587.03,2112.18,347.02,North,Enterprise
6/1/2025,CUST_C,INV-6840,17271.13,30,7/16/2025,15,14804.41,2466.72,0,West,Enterprise
6/1/2025,CUST_C,INV-6832,5306.88,60,8/28/2025,28,4518.55,454.71,333.62,North,Mid-Market
6/1/2025,CUST_A,INV-6368,14197.89,60,8/1/2025,1,12361.56,1836.33,0,South,Mid-Market
6/1/2025,CUST_D,INV-6426,7186.4,30,9/2/2025,63,5981.08,1205.32,0,South,Enterprise
6/1/2025,CUST_D,INV-6096,11758.21,30,9/2/2025,63,10077.09,1534.94,146.18,West,Enterprise
6/1/2025,CUST_C,INV-6812,20945.55,45,8/5/2025,20,19113.44,1832.11,0,West,SME
6/1/2025,CUST_E,INV-6023,23155.68,60,8/26/2025,26,22349.44,806.24,0,East,SME
6/1/2025,CUST_B,INV-6845,12771.43,30,6/29/2025,-2,11823.37,948.06,0,West,Mid-Market
6/2/2025,CUST_C,INV-6479,14840.14,60,8/31/2025,30,12119.6,2720.54,0,West,Mid-Market
6/2/2025,CUST_E,INV-6737,21511.32,60,8/1/2025,0,19049.11,2462.21,0,South,SME
6/2/2025,CUST_E,INV-6851,10566.8,45,8/11/2025,25,8788.51,1778.29,0,West,SME
6/3/2025,CUST_C,INV-6915,5851.29,60,8/17/2025,15,4769.59,621.97,459.73,North,Enterprise
6/3/2025,CUST_E,INV-6293,22553.4,45,8/17/2025,30,20296.99,2002.97,253.44,North,SME
6/3/2025,CUST_D,INV-6544,5781.35,30,8/27/2025,55,5215.56,383.36,182.43,West,Mid-Market
6/3/2025,CUST_D,INV-6885,13696.82,45,9/15/2025,59,13144.41,552.41,0,East,SME
6/3/2025,CUST_E,INV-6248,12691.57,60,8/1/2025,-1,12144.67,546.9,0,West,SME
6/3/2025,CUST_A,INV-6418,23283.21,30,7/1/2025,-2,22528.8,400.4,354.01,South,Enterprise
6/3/2025,CUST_E,INV-6378,19257.13,45,8/12/2025,25,17082.76,2174.37,0,North,SME
6/4/2025,CUST_B,INV-6157,16808.23,30,7/6/2025,2,14788.43,2019.8,0,South,Enterprise
6/4/2025,CUST_C,INV-6962,11630.6,60,8/30/2025,27,10745.54,885.06,0,West,Mid-Market
6/4/2025,CUST_B,INV-6095,6422.44,60,8/6/2025,3,6111.08,67.81,243.55,East,Enterprise
6/4/2025,CUST_C,INV-6081,16685.26,45,8/13/2025,25,13862.07,2823.19,0,South,Enterprise
6/4/2025,CUST_C,INV-6132,6695.57,30,7/27/2025,23,5735.25,960.32,0,East,Enterprise
6/4/2025,CUST_D,INV-6677,19136.26,45,9/15/2025,58,17671.17,1465.09,0,South,Enterprise
6/5/2025,CUST_C,INV-6985,16081.71,30,7/23/2025,18,15044.69,1037.02,0,East,Enterprise
6/5/2025,CUST_A,INV-6372,10918.35,60,8/1/2025,-3,10217.62,562.9,137.83,West,Mid-Market
6/5/2025,CUST_B,INV-6922,7904.22,30,7/5/2025,0,6744.72,1149.88,9.62,West,Enterprise
6/5/2025,CUST_C,INV-6882,7250.87,60,8/21/2025,17,6003.06,1247.81,0,West,Enterprise
6/6/2025,CUST_E,INV-6929,13417.65,45,8/12/2025,22,11039.92,1878.55,499.18,South,SME
6/6/2025,CUST_B,INV-6760,18527.34,60,8/4/2025,-1,15339.75,3178.5,9.09,West,SME
6/6/2025,CUST_B,INV-6860,13835,60,8/4/2025,-1,12899.12,810.64,125.24,South,Mid-Market
6/6/2025,CUST_C,INV-6385,24348.87,60,9/3/2025,29,24225.89,82.25,40.73,North,SME
6/6/2025,CUST_D,INV-6517,9997.54,30,9/5/2025,61,9475.41,522.13,0,South,Mid-Market
6/7/2025,CUST_C,INV-6333,22484.2,45,8/15/2025,24,22206.8,0,421.54,East,SME
6/7/2025,CUST_A,INV-6756,19474.36,30,7/4/2025,-3,16634.12,2840.24,0,East,Mid-Market
6/7/2025,CUST_D,INV-6252,16061.2,45,9/25/2025,65,15452.42,181.85,426.93,South,SME
6/7/2025,CUST_B,INV-6394,24596.29,60,8/8/2025,2,23292.77,1303.52,0,East,SME
6/8/2025,CUST_B,INV-6767,5634.82,30,7/7/2025,-1,4758.4,389.12,487.3,North,Mid-Market
6/8/2025,CUST_C,INV-6339,20735.6,60,8/25/2025,18,16986.32,3568.64,180.64,South,SME
6/8/2025,CUST_B,INV-6957,18764.06,60,8/9/2025,2,15856.15,2616.08,291.83,South,SME
6/8/2025,CUST_E,INV-6421,19257.5,30,7/4/2025,-4,18120.3,1137.2,0,South,Mid-Market
6/8/2025,CUST_A,INV-6000,7105.59,45,7/25/2025,2,5747.17,968.66,389.76,South,Enterprise
6/8/2025,CUST_B,INV-6053,9498.71,30,7/7/2025,-1,9322.79,0,249.18,North,SME
6/8/2025,CUST_D,INV-6205,14307.56,30,9/6/2025,60,11880.07,2320.24,107.25,North,SME
6/9/2025,CUST_C,INV-6505,17024.51,60,8/30/2025,22,14198.3,2826.21,0,North,SME
6/9/2025,CUST_A,INV-6091,11718.78,60,8/8/2025,0,11628.57,90.21,0,North,Enterprise
6/9/2025,CUST_D,INV-6550,8267.71,30,9/12/2025,65,6747.66,1183.62,336.43,South,SME
6/10/2025,CUST_C,INV-6753,16799.73,45,8/9/2025,15,13989.47,2611.92,198.34,North,Enterprise
6/10/2025,CUST_B,INV-6483,7197.02,30,7/13/2025,3,6001.5,1195.52,0,West,SME
6/10/2025,CUST_C,INV-6211,5376.64,60,8/28/2025,19,4694.8,370.06,311.78,North,SME
6/10/2025,CUST_C,INV-6082,20768.15,30,7/30/2025,20,20596.43,125.84,45.88,North,Enterprise
6/10/2025,CUST_D,INV-6077,13690.02,30,9/11/2025,63,12087.03,1602.99,0,West,Enterprise
6/10/2025,CUST_E,INV-6154,19106.76,30,7/15/2025,5,18554.76,278.09,273.91,South,Enterprise
6/11/2025,CUST_E,INV-6168,13526.97,45,7/22/2025,-4,12028.69,1416.55,81.73,East,Mid-Market
6/11/2025,CUST_E,INV-6493,24236.88,45,7/28/2025,2,22786.85,1360.91,89.12,North,Enterprise
6/11/2025,CUST_C,INV-6122,24663.19,45,8/22/2025,27,21704.43,2958.76,0,West,SME
6/12/2025,CUST_A,INV-6485,23972.68,30,7/13/2025,1,19214.6,4758.08,0,South,SME
6/12/2025,CUST_A,INV-6897,13598.96,45,7/28/2025,1,13343.75,255.21,0,North,SME
6/12/2025,CUST_C,INV-6242,17855.66,30,7/30/2025,18,15884.33,1971.33,0,North,Enterprise
6/13/2025,CUST_A,INV-6557,20958.46,30,7/12/2025,-1,18547.98,2092.05,318.43,North,Enterprise
6/13/2025,CUST_E,INV-6580,23053.03,45,8/9/2025,12,21744.72,1308.31,0,North,SME
6/14/2025,CUST_A,INV-6619,10399.46,60,8/11/2025,-2,8738.59,1429.43,231.44,East,Mid-Market
6/14/2025,CUST_D,INV-6392,21426.25,30,9/16/2025,64,19590.89,1835.36,0,South,SME
6/14/2025,CUST_A,INV-6794,10698.59,30,7/16/2025,2,9435.03,1263.56,0,South,SME
6/14/2025,CUST_C,INV-6013,13311.19,60,9/9/2025,27,12075.45,1235.74,0,North,SME
6/14/2025,CUST_C,INV-6097,11900.27,30,8/13/2025,30,9821.98,1872.71,205.58,East,Mid-Market
6/14/2025,CUST_A,INV-6224,22538.66,30,7/16/2025,2,18524.51,3607.33,406.82,North,Mid-Market
6/14/2025,CUST_E,INV-6867,24657.95,45,7/25/2025,-4,24016.17,641.78,0,North,Enterprise
6/15/2025,CUST_B,INV-6640,15218.97,45,7/31/2025,1,13070.71,1757.56,390.7,North,Enterprise
6/15/2025,CUST_E,INV-6375,14351.44,60,9/10/2025,27,14013.86,337.58,0,East,SME
6/15/2025,CUST_C,INV-6298,23124.49,45,8/15/2025,16,18943.69,4180.8,0,North,SME
6/15/2025,CUST_D,INV-6251,10678.82,30,9/10/2025,57,10653.51,0,366.56,South,Enterprise
6/15/2025,CUST_C,INV-6492,11840.9,45,8/16/2025,17,10289.74,1551.16,0,West,Enterprise
6/15/2025,CUST_C,INV-6865,7851.05,30,8/10/2025,26,7209.35,167.15,474.55,East,SME
