Customer Name,date,days_delayed_q20,days_delayed_q50,days_delayed_q80,estimate_amount_percent_q20,estimate_amount_percent_q50,estimate_amount_percent_q80,payment_date,invoice_amount,collected_amount
Alpha Trading LLC,11/3/2025,-2,0,1,0.039846899,0.884061977,0.93109157,1/2/2026,3521,3112.78
Alpha Trading LLC,11/4/2025,-2,0,1,0.071146503,0.901197166,0.929474083,1/3/2026,11515,10377.29
Alpha Trading LLC,11/5/2025,-2,0,1,0.080996923,0.900841125,0.933782441,1/4/2026,12412,11181.24
Alpha Trading LLC,11/6/2025,-2,0,1,0.059377303,0.908669313,0.930528983,1/5/2026,28702,26080.63
Alpha Trading LLC,11/7/2025,-2,0,1,0.056681349,0.911284677,0.926813531,1/6/2026,18424,16789.51
Alpha Trading LLC,11/8/2025,-2,0,1,0.051067573,0.914161888,0.933162731,1/7/2026,6188,5656.83
Alpha Trading LLC,11/9/2025,-2,0,1,0.078396706,0.919466429,0.927652935,1/8/2026,38775,35652.31
Alpha Trading LLC,11/10/2025,-2,0,1,0.072462998,0.916060314,0.930383203,1/9/2026,39049,35771.24
Alpha Trading LLC,11/11/2025,-2,0,1,0.072074134,0.920747067,0.928058818,1/10/2026,21526,19820
Alpha Trading LLC,11/12/2025,-2,0,1,0.057750839,0.922159121,0.926129643,1/11/2026,17680,16303.77
Alpha Trading LLC,11/13/2025,-2,0,1,0.071717738,0.926765334,0.926040532,1/12/2026,25525,23655.69
Alpha Trading LLC,11/14/2025,-2,0,1,0.06394551,0.912490212,0.932009414,1/13/2026,32586,29734.41
Alpha Trading LLC,11/15/2025,-2,0,1,0.04254528,0.89690871,0.932137189,1/14/2026,26716,23961.81
Alpha Trading LLC,11/16/2025,-2,0,1,0.019235726,0.862106646,0.931287671,1/15/2026,4976,4289.84
Alpha Trading LLC,11/17/2025,-2,0,1,0.027871861,0.864613554,0.933813822,1/16/2026,27747,23990.43
Alpha Trading LLC,11/18/2025,-2,0,1,0.025297134,0.879370723,0.930017983,1/17/2026,13462,11838.09
Alpha Trading LLC,11/19/2025,-2,0,1,0.025815872,0.857926722,0.931569242,1/18/2026,3396,2913.52
Alpha Trading LLC,11/20/2025,-2,0,1,0.044207701,0.871304837,0.930917013,1/19/2026,33679,29344.68
Alpha Trading LLC,11/21/2025,-2,0,1,0.039108466,0.870711147,0.92917691,1/20/2026,10360,9020.57
Alpha Trading LLC,11/22/2025,-2,0,1,0.015172856,0.884815,0.931640299,1/21/2026,32471,28730.83
Alpha Trading LLC,11/23/2025,-2,0,1,0.032022579,0.88382964,0.931676383,1/22/2026,41897,37029.81
Alpha Trading LLC,11/24/2025,-2,0,1,0.035521093,0.890090082,0.935983198,1/23/2026,11506,10241.38
Alpha Trading LLC,11/25/2025,-2,0,1,0.016603546,0.882414501,0.930583553,1/24/2026,4101,3618.78
Alpha Trading LLC,11/26/2025,-2,0,1,0.029103543,0.898179233,0.931659668,1/25/2026,10692,9603.33
Alpha Trading LLC,11/27/2025,-2,0,1,0.042192323,0.907291371,0.928231452,1/26/2026,385,349.31
Alpha Trading LLC,11/28/2025,-2,0,1,0.062423836,0.912981337,0.930323197,1/27/2026,2921,2666.82
Alpha Trading LLC,11/29/2025,-2,0,1,0.081282768,0.918792706,0.92899765,1/28/2026,37503,34457.48
Alpha Trading LLC,11/30/2025,-2,0,1,0.083626523,0.917054044,0.9346686,1/29/2026,5207,4775.1
Alpha Trading LLC,12/1/2025,-2,0,1,0.080593898,0.911127543,0.935968481,1/30/2026,31188,28416.25
Alpha Trading LLC,12/2/2025,-2,0,1,0.07920397,0.890418257,0.933630769,1/31/2026,27871,24816.85
Alpha Trading LLC,12/3/2025,-2,0,1,0.072417228,0.897948918,0.934227998,2/1/2026,33173,29787.66
Alpha Trading LLC,12/4/2025,-2,0,1,0.046578615,0.901858246,0.931432363,2/2/2026,25143,22675.42
Alpha Trading LLC,12/5/2025,-2,0,1,0.060402339,0.91348111,0.929054773,2/3/2026,38832,35472.3
Alpha Trading LLC,12/6/2025,-2,0,1,0.061851843,0.912953673,0.932601813,2/4/2026,18677,17051.24
Alpha Trading LLC,12/7/2025,-2,0,1,0.074503056,0.910954984,0.937432298,2/5/2026,8553,7791.4
Alpha Trading LLC,12/8/2025,-2,0,1,0.022450671,0.902003014,0.933624017,2/6/2026,8417,7592.16
Alpha Trading LLC,12/9/2025,-2,0,1,0.027212122,0.890517686,0.931469029,2/7/2026,18990,16910.93
Alpha Trading LLC,12/10/2025,-2,0,1,0.030809812,0.887033914,0.935239152,2/8/2026,35521,31508.33
Alpha Trading LLC,12/11/2025,-2,0,1,0.021581404,0.879576231,0.929469178,2/9/2026,4896,4306.41
Alpha Trading LLC,12/12/2025,-2,0,1,-0.010687302,0.87563135,0.931120574,2/10/2026,16978,14866.47
Alpha Trading LLC,12/13/2025,-2,0,1,0.007832985,0.884959061,0.930461947,2/11/2026,18440,16318.65
Alpha Trading LLC,12/14/2025,-2,0,1,0.054838833,0.894298454,0.93137481,2/12/2026,28910,25854.17
Alpha Trading LLC,12/15/2025,-2,0,1,0.058480624,0.897410633,0.930489106,2/13/2026,19512,17510.28
Alpha Trading LLC,12/16/2025,-2,0,1,0.068411658,0.908912929,0.933180482,2/14/2026,10520,9561.76
Alpha Trading LLC,12/17/2025,-2,0,1,0.070293116,0.902561529,0.93457567,2/15/2026,37440,33791.9
Alpha Trading LLC,12/18/2025,-2,0,1,0.067490198,0.886079024,0.930758084,2/16/2026,13171,11670.55
Alpha Trading LLC,12/19/2025,-2,0,1,0.026790031,0.888308482,0.933705796,2/17/2026,4447,3950.31
Alpha Trading LLC,12/20/2025,-2,0,1,0.027750028,0.899473323,0.932510173,2/18/2026,37305,33554.85
Orion Logistics LLC,9/1/2025,,0,,,0,,,0,0
Orion Logistics LLC,9/2/2025,,0,,,0.923328223,,11/1/2025,16667.15,15389.25
Orion Logistics LLC,9/3/2025,,1,,,0.880429932,,11/3/2025,14476.7,12745.72
Orion Logistics LLC,9/4/2025,,0,,,0,,,0,0
Orion Logistics LLC,9/5/2025,,1,,,0.853237014,,10/21/2025,12252.34,10454.15
Orion Logistics LLC,9/6/2025,,3,,,0.89070296,,10/9/2025,12596.59,11219.82
Orion Logistics LLC,9/7/2025,,0,,,0,,,0,0
Orion Logistics LLC,9/8/2025,,0,,,0,,,0,0
Orion Logistics LLC,9/9/2025,,3,,,0.805009356,,10/12/2025,12905.85,10389.33
Orion Logistics LLC,9/10/2025,,0,,,0.843973456,,11/9/2025,18192.93,15354.35
Orion Logistics LLC,9/11/2025,,2,,,0.949005482,,10/13/2025,19489.35,18495.5
Orion Logistics LLC,9/12/2025,,-1,,,0.815082154,,10/11/2025,11000.02,8965.92
Orion Logistics LLC,9/13/2025,,3,,,0.875222843,,10/16/2025,5345.69,4678.67
Orion Logistics LLC,9/14/2025,,0,,,0,,,0,0
Orion Logistics LLC,9/15/2025,,3,,,0.968737521,,11/2/2025,9416.08,9121.71
Orion Logistics LLC,9/16/2025,,3,,,0.970482337,,11/3/2025,17577.95,17059.09
Orion Logistics LLC,9/17/2025,,0,,,0.850024491,,11/1/2025,17925.06,15236.74
Orion Logistics LLC,9/18/2025,,-2,,,0.931599851,,10/16/2025,15006.4,13979.96
Orion Logistics LLC,9/19/2025,,2,,,0.863696645,,11/20/2025,24996.45,21589.35
Orion Logistics LLC,9/20/2025,,1,,,0.904049968,,10/21/2025,17900.88,16183.29
Orion Logistics LLC,9/21/2025,,0,,,0,,,0,0
Orion Logistics LLC,9/22/2025,,2,,,0.822027126,,10/24/2025,20208.81,16612.19
Orion Logistics LLC,9/23/2025,,0,,,0,,,0,0
Orion Logistics LLC,9/24/2025,,0,,,0.986935619,,11/23/2025,11706.64,11553.7
Orion Logistics LLC,9/25/2025,,0,,,0,,,0,0
Orion Logistics LLC,9/26/2025,,0,,,0,,,0,0
Orion Logistics LLC,9/27/2025,,3,,,0.843702629,,11/14/2025,19948.96,16830.99
Orion Logistics LLC,9/28/2025,,3,,,0.859990132,,10/31/2025,8573.11,7372.79
Orion Logistics LLC,9/29/2025,,1,,,0.888878797,,10/30/2025,10128.85,9003.32
Orion Logistics LLC,9/30/2025,,2,,,0.95110949,,11/16/2025,23857.8,22691.38
Orion Logistics LLC,10/1/2025,,3,,,0.849086944,,12/3/2025,8681.29,7371.17
Orion Logistics LLC,10/2/2025,,1,,,0.817103126,,12/2/2025,20363.88,16639.39
Orion Logistics LLC,10/3/2025,,2,,,0.871120502,,11/4/2025,10142.42,8835.27
Orion Logistics LLC,10/4/2025,,0,,,0.951046093,,11/3/2025,14632.54,13916.22
Orion Logistics LLC,10/5/2025,,1,,,0.925072214,,11/20/2025,8578.66,7935.88
Orion Logistics LLC,10/6/2025,,1,,,0.810039144,,12/6/2025,13567.69,10990.36
Orion Logistics LLC,10/7/2025,,3,,,0.966171645,,11/9/2025,21567.41,20837.82
Orion Logistics LLC,10/8/2025,,2,,,0.872551065,,11/9/2025,6423.2,5604.57
Orion Logistics LLC,10/9/2025,,-2,,,0.911690455,,11/21/2025,22883.37,20862.55
Orion Logistics LLC,10/10/2025,,-2,,,0.815268981,,11/7/2025,20300.11,16550.05
Orion Logistics LLC,10/11/2025,,1,,,0.925712817,,11/11/2025,15330.37,14191.52
Orion Logistics LLC,10/12/2025,,1,,,0.958737492,,12/12/2025,9856.89,9450.17
Orion Logistics LLC,10/13/2025,,0,,,0,,,0,0
Orion Logistics LLC,10/14/2025,,0,,,0,,,0,0
Orion Logistics LLC,10/15/2025,,0,,,0,,,0,0
Orion Logistics LLC,10/16/2025,,0,,,0.828657128,,11/15/2025,5810.98,4815.31
Orion Logistics LLC,10/17/2025,,0,,,0,,,0,0
Orion Logistics LLC,10/18/2025,,3,,,0.9523475,,11/20/2025,24512.25,23344.18
Orion Logistics LLC,10/19/2025,,2,,,0.884947209,,11/20/2025,10534.99,9322.91
Orion Logistics LLC,10/20/2025,,3,,,0.999661876,,12/7/2025,18336.48,18330.28
Orion Logistics LLC,10/21/2025,,-1,,,0.873989794,,12/4/2025,15678.73,13703.05
Orion Logistics LLC,10/22/2025,,3,,,0.865074201,,12/9/2025,17598.71,15224.19
Orion Logistics LLC,10/23/2025,,0,,,0,,,0,0
Orion Logistics LLC,10/24/2025,,0,,,0,,,0,0
Orion Logistics LLC,10/25/2025,,0,,,0.86954051,,12/24/2025,5050.38,4391.51
Orion Logistics LLC,10/26/2025,,-1,,,0.939077164,,12/9/2025,12831.97,12050.21
Orion Logistics LLC,10/27/2025,,0,,,0.998887453,,12/11/2025,24771.98,24744.42
Orion Logistics LLC,10/28/2025,,-1,,,0.995878331,,11/26/2025,21641.72,21552.52
Orion Logistics LLC,10/29/2025,,3,,,0.961715657,,12/31/2025,9070.81,8723.54
Orion Logistics LLC,10/30/2025,,3,,,0.80386126,,12/17/2025,10260.9,8248.34
Orion Logistics LLC,10/31/2025,,1,,,0.984402149,,12/16/2025,19723.23,19415.59
Orion Logistics LLC,11/1/2025,-1,1,2,0.136628046,0.904540061,0.931481102,1/1/2026,40158,36324.52
Orion Logistics LLC,11/2/2025,-1,1,2,0.115428884,0.905619414,0.931823417,1/2/2026,7863,7120.89
Orion Logistics LLC,11/3/2025,-1,1,2,0.076043715,0.908440535,0.931659857,1/3/2026,6656,6046.58
Orion Logistics LLC,11/4/2025,-1,1,2,0.072933843,0.906948563,0.932050825,1/4/2026,35985,32636.54
Orion Logistics LLC,11/5/2025,-1,1,2,0.081197019,0.90120202,0.935237285,1/5/2026,8854,7979.24
Orion Logistics LLC,11/6/2025,-1,1,2,0.082326939,0.908534871,0.933062353,1/6/2026,8747,7946.95
Orion Logistics LLC,11/7/2025,-1,1,2,0.096744809,0.916850381,0.929169219,1/7/2026,9231,8463.45
Orion Logistics LLC,11/8/2025,-1,1,2,0.09657008,0.931473247,0.933587522,1/8/2026,33289,31007.81
Orion Logistics LLC,11/9/2025,0,1,2,0.107648852,0.924279384,0.931245692,1/9/2026,490,452.9
Orion Logistics LLC,11/10/2025,-1,1,2,0.078390651,0.918455763,0.935473334,1/10/2026,30004,27557.35
Orion Logistics LLC,11/11/2025,-1,1,2,0.079809349,0.918143813,0.931316118,1/11/2026,17895,16430.18
Orion Logistics LLC,11/12/2025,-1,1,2,0.086033119,0.92377648,0.929577395,1/12/2026,37233,34394.97
Orion Logistics LLC,11/13/2025,-1,1,2,0.083641556,0.922788296,0.92917273,1/13/2026,17088,15768.61
Orion Logistics LLC,11/14/2025,-1,1,2,0.100731714,0.914461739,0.939049265,1/14/2026,27412,25067.23
Orion Logistics LLC,11/15/2025,-1,1,2,0.100554481,0.918044862,0.937946518,1/15/2026,2582,2370.39
Orion Logistics LLC,11/16/2025,-1,1,2,0.106603375,0.910627986,0.931246624,1/16/2026,26011,23686.34
Orion Logistics LLC,11/17/2025,-1,1,2,0.120142149,0.901670656,0.933518224,1/17/2026,15854,14295.09
Orion Logistics LLC,11/18/2025,-1,1,2,0.151012825,0.913128712,0.934200448,1/18/2026,24678,22534.19
Orion Logistics LLC,11/19/2025,-1,1,2,0.126638642,0.91611732,0.934387819,1/19/2026,1505,1378.76
Orion Logistics LLC,11/20/2025,-1,1,2,0.133111913,0.922733703,0.931883288,1/20/2026,10265,9471.86
Orion Logistics LLC,11/21/2025,-1,1,2,0.127237061,0.922781079,0.934309488,1/21/2026,22033,20331.64
Orion Logistics LLC,11/22/2025,-1,1,2,0.123486008,0.920069392,0.935324036,1/22/2026,26222,24126.06
Orion Logistics LLC,11/23/2025,-1,1,2,0.103411857,0.920647412,0.931456947,1/23/2026,23209,21367.31
Orion Logistics LLC,11/24/2025,-1,1,2,0.08545753,0.924565976,0.937812439,1/24/2026,30525,28222.38
Orion Logistics LLC,11/25/2025,-1,1,2,0.092385666,0.911663227,0.936172913,1/25/2026,41753,38064.67
Orion Logistics LLC,11/26/2025,-1,1,2,0.091279359,0.917424989,0.936996579,1/26/2026,38586,35399.76
Orion Logistics LLC,11/27/2025,-1,1,2,0.086351746,0.917553667,0.932641143,1/27/2026,16889,15496.56
Orion Logistics LLC,11/28/2025,-1,1,2,0.100562287,0.923244487,0.931568344,1/28/2026,17500,16156.78
Orion Logistics LLC,11/29/2025,-1,1,2,0.11665346,0.927254933,0.931226937,1/29/2026,31259,28985.06
Orion Logistics LLC,11/30/2025,-1,1,2,0.132685179,0.918579138,0.94020469,1/30/2026,7150,6567.84
Orion Logistics LLC,12/1/2025,-1,1,3,0.12875925,0.916916463,0.940217897,1/31/2026,19352,17744.17
Orion Logistics LLC,12/2/2025,-1,1,2,0.113410786,0.906913975,0.933411541,2/1/2026,15134,13725.24
Orion Logistics LLC,12/3/2025,-1,1,2,0.098785196,0.894305943,0.934071255,2/2/2026,23511,21026.03
Orion Logistics LLC,12/4/2025,-1,1,2,0.095495047,0.902073382,0.935192044,2/3/2026,39408,35548.91
Orion Logistics LLC,12/5/2025,-1,1,2,0.072402341,0.905989664,0.936318209,2/4/2026,5087,4608.77
Orion Logistics LLC,12/6/2025,-1,1,2,0.105588434,0.914439033,0.932945998,2/5/2026,37674,34450.58
Orion Logistics LLC,12/7/2025,-1,1,2,0.131900053,0.918577911,0.934605678,2/6/2026,3469,3186.55
Orion Logistics LLC,12/8/2025,-1,1,2,0.144568422,0.918482839,0.933844902,2/7/2026,25115,23067.7
Orion Logistics LLC,12/9/2025,-1,1,2,0.11905607,0.917477815,0.929565784,2/8/2026,4439,4072.68
Orion Logistics LLC,12/10/2025,-1,1,3,0.105298332,0.919639467,0.937458882,2/9/2026,4636,4263.45
Orion Logistics LLC,12/11/2025,-1,1,2,0.132714931,0.918888805,0.936664918,2/10/2026,9382,8621.01
Orion Logistics LLC,12/12/2025,-1,1,3,0.138477699,0.919996756,0.937682362,2/11/2026,2992,2752.63
Orion Logistics LLC,12/13/2025,-1,1,2,0.107614682,0.913718711,0.936669385,2/12/2026,30543,27907.71
Orion Logistics LLC,12/14/2025,-1,1,2,0.097352752,0.91863901,0.932566739,2/13/2026,25381,23315.98
Orion Logistics LLC,12/15/2025,-1,1,2,0.091272977,0.915128694,0.931790867,2/14/2026,4237,3877.4
Orion Logistics LLC,12/16/2025,-1,1,2,0.139309957,0.911989954,0.940743409,2/15/2026,33469,30523.39
Orion Logistics LLC,12/17/2025,-1,1,2,0.144651736,0.912064235,0.940240677,2/16/2026,7931,7233.58
Orion Logistics LLC,12/18/2025,-1,1,3,0.13331443,0.906419933,0.933905584,2/17/2026,4659,4223.01
Orion Logistics LLC,12/19/2025,-1,1,2,0.094898445,0.902906991,0.933890757,2/18/2026,25963,23442.17
Orion Logistics LLC,12/20/2025,-1,1,2,0.097028921,0.910026351,0.934502407,2/19/2026,30431,27693.01
Zenith Constructions,9/1/2025,,28,,,0.825832038,,10/29/2025,12839.56,10603.32
Zenith Constructions,9/2/2025,,0,,,0,,,0,0
Zenith Constructions,9/3/2025,,22,,,0.840156182,,10/25/2025,24179.54,20314.59
Zenith Constructions,9/4/2025,,20,,,0.857709513,,11/23/2025,8286.71,7107.59
Zenith Constructions,9/5/2025,,18,,,0.85270072,,11/7/2025,14603.33,12452.27
Zenith Constructions,9/6/2025,,0,,,0,,,0,0
Zenith Constructions,9/7/2025,,22,,,0.883488278,,11/13/2025,17444.94,15412.4
Zenith Constructions,9/8/2025,,0,,,0,,,0,0
Zenith Constructions,9/9/2025,,26,,,0.8799348,,11/4/2025,11331.26,9970.77
Zenith Constructions,9/10/2025,,28,,,0.877508883,,11/7/2025,10727.88,9413.81
Zenith Constructions,9/11/2025,,0,,,0,,,0,0
Zenith Constructions,9/12/2025,,27,,,0.837012948,,11/8/2025,10756.56,9003.38
Zenith Constructions,9/13/2025,,18,,,0.808478316,,11/15/2025,10821.96,8749.32
Zenith Constructions,9/14/2025,,0,,,0,,,0,0
Zenith Constructions,9/15/2025,,0,,,0,,,0,0
Zenith Constructions,9/16/2025,,19,,,0.861445353,,12/4/2025,8830.09,7606.64
Zenith Constructions,9/17/2025,,16,,,0.966864522,,11/2/2025,8787.56,8496.38
Zenith Constructions,9/18/2025,,18,,,0.898201675,,11/20/2025,18924.28,16997.82
Zenith Constructions,9/19/2025,,25,,,0.87780629,,11/28/2025,23599.66,20715.93
Zenith Constructions,9/20/2025,,0,,,0,,,0,0
Zenith Constructions,9/21/2025,,29,,,0.845013015,,11/19/2025,20591.6,17400.17
Zenith Constructions,9/22/2025,,15,,,0.847718986,,12/6/2025,8246.99,6991.13
Zenith Constructions,9/23/2025,,20,,,0.861183978,,12/12/2025,24317.51,20941.85
Zenith Constructions,9/24/2025,,30,,,0.924701819,,12/23/2025,23003.61,21271.48
Zenith Constructions,9/25/2025,,0,,,0,,,0,0
Zenith Constructions,9/26/2025,,25,,,0.9019814,,12/5/2025,11394.47,10277.6
Zenith Constructions,9/27/2025,,0,,,0,,,0,0
Zenith Constructions,9/28/2025,,0,,,0,,,0,0
Zenith Constructions,9/29/2025,,0,,,0,,,0,0
Zenith Constructions,9/30/2025,,0,,,0,,,0,0
Zenith Constructions,10/1/2025,,0,,,0,,,0,0
Zenith Constructions,10/2/2025,,0,,,0,,,0,0
Zenith Constructions,10/3/2025,,25,,,0.857370963,,12/27/2025,13464.93,11544.44
Zenith Constructions,10/4/2025,,23,,,0.808485704,,12/26/2025,8652.67,6995.56
Zenith Constructions,10/5/2025,,0,,,0,,,0,0
Zenith Constructions,10/6/2025,,15,,,0.952492304,,12/5/2025,14770.87,14069.14
Zenith Constructions,10/7/2025,,0,,,0,,,0,0
Zenith Constructions,10/8/2025,,0,,,0,,,0,0
Zenith Constructions,10/9/2025,,30,,,0.805058422,,12/8/2025,12841.95,10338.52
Zenith Constructions,10/10/2025,,0,,,0,,,0,0
Zenith Constructions,10/11/2025,,0,,,0,,,0,0
Zenith Constructions,10/12/2025,,18,,,0.820782193,,11/29/2025,6571.78,5394
Zenith Constructions,10/13/2025,,23,,,0.802699715,,12/20/2025,7896.39,6338.43
Zenith Constructions,10/14/2025,,30,,,0.882421305,,12/13/2025,17811.39,15717.15
Zenith Constructions,10/15/2025,,19,,,0.814287343,,1/2/2026,24914.08,20287.22
Zenith Constructions,10/16/2025,,25,,,0.92000071,,12/10/2025,24229.09,22290.78
Zenith Constructions,10/17/2025,,23,,,0.907831588,,12/24/2025,7280.26,6609.25
Zenith Constructions,10/18/2025,,0,,,0,,,0,0
Zenith Constructions,10/19/2025,,0,,,0,,,0,0
Zenith Constructions,10/20/2025,,24,,,0.983668936,,12/28/2025,13999.7,13771.07
Zenith Constructions,10/21/2025,,19,,,0.937574847,,1/8/2026,10154.08,9520.21
Zenith Constructions,10/22/2025,,0,,,0,,,0,0
Zenith Constructions,10/23/2025,,28,,,0.849979896,,1/19/2026,5471.6,4650.75
Zenith Constructions,10/24/2025,,18,,,0.842682695,,12/11/2025,20279.46,17089.15
Zenith Constructions,10/25/2025,,15,,,0.934600478,,12/24/2025,23583.2,22040.87
Zenith Constructions,10/26/2025,,0,,,0,,,0,0
Zenith Constructions,10/27/2025,,29,,,0.990191719,,1/24/2026,10412.63,10310.5
Zenith Constructions,10/28/2025,,22,,,0.846958912,,12/19/2025,12156.67,10296.2
Zenith Constructions,10/29/2025,,26,,,0.903809401,,1/23/2026,8293.43,7495.68
Zenith Constructions,10/30/2025,,27,,,0.869421703,,1/25/2026,22609.5,19657.19
Zenith Constructions,10/31/2025,,17,,,0.943812807,,1/16/2026,24069.72,22717.31
Zenith Constructions,11/1/2025,2,17,26,0.161782334,0.896270009,0.922262343,1/17/2026,2595,2325.82
Zenith Constructions,11/2/2025,0,13,25,0.097386073,0.883153599,0.921950641,1/14/2026,34517,30483.81
Zenith Constructions,11/3/2025,0,11,24,0.072300997,0.876526929,0.92464127,1/13/2026,41885,36713.33
Zenith Constructions,11/4/2025,0,13,25,0.080932222,0.887883326,0.923140028,1/16/2026,8166,7250.46
Zenith Constructions,11/5/2025,1,14,26,0.0887935,0.885067966,0.926060261,1/18/2026,34650,30667.61
Zenith Constructions,11/6/2025,0,11,24,0.043018928,0.879603647,0.926283956,1/16/2026,34112,30005.04
Zenith Constructions,11/7/2025,0,13,25,0.069356797,0.889051968,0.923769189,1/19/2026,18822,16733.74
Zenith Constructions,11/8/2025,3,18,27,0.070396851,0.899457002,0.929062465,1/25/2026,14912,13412.7
Zenith Constructions,11/9/2025,1,16,26,0.072539098,0.890922762,0.922849123,1/24/2026,23191,20661.39
