Date / Period,Business Unit / Department,Revenue (Actual),Revenue (Budget / Forecast),Cost of Goods Sold (COGS),Gross Profit,Operating Expenses (OPEX),EBITDA,Net Income,Cash Inflows,Cash Outflows,Net Cash Flow,Cash Balance,Accounts Receivable (AR),Accounts Payable (AP),Days Sales Outstanding (DSO),Days Payable Outstanding (DPO),Working Capital,Total Assets,Total Liabilities,Equity,Debt Outstanding,Debt-to-Equity Ratio,Current Ratio,Budget Variance (%),Year-over-Year Growth (%),Return on Equity (ROE),Return on Assets (ROA),Gross Margin %,Operating Margin %,EBITDA Margin %,Inventory Value,Inventory Turnover,Capital Expenditure (CapEx),Operational Expenditure (OpEx),Headcount,Cost per Employee,Sales Pipeline Value,Order Backlog
2023-01-11,Finance,336105,95816,46715,208508,33480,112345,119679,260775,268758,-12807,502605,149568,90400,96,27,158554,4110416,227685,2866196,475168,1.89,2.65,24.3,9.64,22.97,-1.78,20.79,48.7,9.86,332159,5.17,167418,30848,3402,87771,512803,268319
2023-01-12,Finance,429094,412615,163518,19781,125786,69669,35055,121246,200100,64834,200178,65372,130090,80,106,214954,870332,1562606,927227,1120588,2.09,1.76,18.47,2.14,11.23,1.03,68.28,20.83,12.86,74220,9.97,43672,114315,71,34045,852771,423728
2023-01-13,Finance,480210,506266,57362,287199,44307,76414,116940,127132,230668,71933,301834,30853,140220,47,107,118287,4759022,793334,2976919,1694264,2.17,0.78,16.9,-12.72,15.64,9.83,18.77,16.16,38.95,332895,2.21,31263,276952,1989,58497,964547,493900
2023-01-14,Finance,251389,346497,156444,146964,124341,49470,-11715,220373,190647,20905,207722,117410,163432,112,119,118050,1962685,3792510,388167,981267,2.28,2.55,4.2,48.94,-4.72,16.31,63.23,39.45,20.67,308578,2.81,98916,9432,784,34335,733288,311235
2023-01-15,Finance,130612,244741,171101,240111,82786,168808,132588,62362,107368,40303,20780,47720,170194,62,111,227459,2906802,2944350,2381168,1349350,1.6,2.97,22.27,7.04,-1.08,17.4,16.16,32.75,24.65,270881,3.11,188022,59488,3172,118046,878493,39463
2023-01-16,Finance,276370,462772,122329,23101,79378,27731,95862,131828,211404,-41332,372528,62380,52453,84,60,258539,1837625,1774360,2596320,1081231,1.44,0.91,-3.61,37.19,-5.25,-2.89,25.53,44.94,25.46,358471,3.49,48821,21630,1959,141438,738601,33603
2023-01-17,Finance,51625,108591,23454,209084,93270,156995,79520,102382,82010,-43972,854784,99184,28292,11,77,-73651,2766743,57670,2102600,1256798,1.61,0.75,27.73,22.21,-4.75,-0.28,47.36,23.54,37.65,325098,8.55,118379,113609,3662,176625,883378,141255
2023-01-18,Finance,391272,201619,28537,140025,13501,15303,58023,358129,72297,89953,780775,166122,85914,25,33,-91198,3591653,3505712,782291,1139452,1.28,1.65,26.46,41.06,19.88,9.11,78.96,24.93,6.84,293797,5.37,180738,89314,1252,95278,823477,313409
2023-01-19,Finance,370127,405403,67884,227498,85524,196752,114133,157627,42011,-45395,42134,47171,147442,48,37,255863,4794536,1045794,841378,340269,1.99,3.25,28.68,36.82,11.88,15.68,68.88,15.21,35.82,99679,5.07,72126,111778,2563,84342,676440,201293
2023-01-20,Finance,292945,87309,153416,251621,9410,128481,136767,172476,150325,64587,452571,53418,36240,75,91,94195,4730990,2352338,254592,1080501,2.43,1.57,27.28,28.69,3.29,3.53,13.76,26.54,12.98,243675,8.97,157105,105583,588,188170,702490,241829
2023-01-21,Finance,350862,161172,66097,201862,73921,118213,107944,289655,215366,28853,172922,127872,36907,12,76,161034,4363409,1590700,1287943,264729,2.24,0.64,26.01,21.98,5.47,14.22,63.6,44.54,31.7,360495,5.46,170630,213337,2232,62475,543906,410883
2023-01-22,Finance,153336,534817,105159,162839,89940,74958,57987,99298,58784,-48693,931844,101454,164422,103,117,-45618,3017102,2200288,1328445,1718666,1.72,3.0,6.2,38.43,-6.15,8.25,43.92,32.52,7.8,220406,8.16,107982,282903,3741,71210,935700,286728
2023-01-23,Finance,195441,183879,198265,46864,21100,30048,137979,75936,127154,69922,900656,23566,69696,116,59,217347,3224908,2011594,993034,1432712,2.49,3.34,12.87,47.63,18.59,-4.7,32.91,36.03,25.7,329861,7.03,179455,162023,4556,119222,624074,181655
2023-01-24,Finance,170410,396833,76453,92006,108526,20170,78589,68875,278061,43871,710664,132213,52870,48,20,135417,657840,409731,2732567,1601929,0.92,3.01,-24.18,33.67,-0.76,-2.75,31.5,17.19,28.66,317011,7.55,88082,115781,85,121068,349345,306302
2023-01-25,Finance,387907,523216,52682,141509,59138,31032,41189,51577,33954,-10503,375149,154775,127070,61,71,-63431,2813131,462806,456258,1965706,2.38,1.5,12.65,15.19,15.24,7.19,55.14,48.79,6.45,102674,1.04,33027,6519,3456,56939,972257,317060
2023-01-26,Finance,279880,337802,151492,54954,104269,153215,11397,30936,50272,799,755908,70792,194566,38,32,211857,1694388,895645,2072076,926328,1.28,0.83,2.62,0.95,22.94,8.02,19.87,36.42,30.19,430939,8.84,81172,57258,2965,148059,347792,156123
2023-01-27,Finance,281831,481875,131541,184975,134952,150181,40995,124763,256147,19311,125610,153142,143724,11,18,270265,2408210,2842347,1027255,400369,2.57,3.49,18.86,44.97,14.59,8.56,64.28,16.44,25.45,108133,7.98,179897,277467,2287,65983,984156,311105
2023-01-28,Finance,203046,247839,27933,125968,68993,120492,27033,49383,203882,4334,413094,61084,159102,70,90,264219,3869442,2998240,1859858,113168,0.92,3.27,-3.98,-12.51,14.88,6.21,50.56,13.6,30.12,230619,1.44,179517,208656,4910,21200,654407,153064
2023-01-29,Finance,164584,396585,89837,100650,118334,136333,56480,217555,120713,-42712,774646,78390,172729,22,70,106835,605298,3421217,1046740,318051,0.87,1.2,29.74,36.02,1.16,8.56,42.46,11.69,19.45,103023,9.18,166700,198231,4522,179184,66184,470234
2023-01-30,Finance,476141,61498,62818,25718,144077,22745,47492,156822,47547,15713,122422,61100,178728,10,34,16991,4453800,3457670,2778530,1727801,2.93,2.98,-9.17,35.36,-0.86,0.3,22.99,26.92,20.45,48406,3.63,105475,239151,3443,32024,348595,382926
2023-01-31,Finance,253439,477977,46589,115914,46067,168007,134777,310539,149722,54357,211163,23614,65984,112,80,5468,3678580,1137952,2079695,196003,1.72,3.38,7.35,18.89,5.74,15.63,36.69,6.5,27.82,186921,4.31,49048,149138,2275,135146,681245,221002
2023-02-01,Finance,66894,379008,68779,292387,40727,42532,50018,167989,30478,93601,85997,125692,139572,87,98,-8561,2637328,2476039,2833148,1760115,1.08,2.58,-18.66,11.78,11.04,15.24,63.79,46.34,33.81,355417,1.47,180257,178868,3889,181047,23295,144862
2023-02-02,Finance,252628,109676,30363,33129,97506,16745,49973,66188,35057,80305,427882,22642,177968,19,35,120862,1230370,1906402,1507006,1125298,1.48,2.47,-6.08,22.74,17.85,10.98,65.67,20.58,19.72,494169,7.31,17054,8651,1413,20651,263135,397986
2023-02-03,Finance,423344,399278,38070,228452,123594,173573,63814,352066,249618,99255,770284,122516,46908,119,16,-78876,3497125,1412994,2149992,226493,2.36,1.63,4.63,5.26,0.44,-3.45,45.26,11.42,22.2,249870,3.19,117856,135304,4768,141316,658538,398854
2023-02-04,Finance,360627,90708,39187,49408,145093,10985,76306,55136,184550,2430,856768,198300,133595,27,42,-14602,2775559,1547325,1353148,126952,2.81,2.85,9.74,-12.92,5.64,14.51,44.56,20.07,33.22,458982,7.21,111034,204158,3973,72730,307439,447771
2023-02-05,Finance,113950,545638,105544,134199,83132,93787,43450,293435,41636,-34631,229618,6538,122473,54,85,222783,3950709,2120426,1011772,575486,2.97,2.76,-9.56,-18.1,17.19,16.63,38.25,39.71,33.02,393913,1.68,85297,77444,2316,186615,432922,71562
2023-02-06,Finance,181299,547331,161000,251099,58123,174870,70575,141587,174786,-31449,501171,8659,123207,17,30,144053,866625,73198,2095378,1270599,2.8,2.82,-8.74,-16.75,0.0,3.85,73.71,27.27,21.74,171638,5.74,70169,135188,1095,155732,829620,311767
2023-02-07,Finance,53095,503153,55790,212348,113618,119756,-15624,312570,84005,-30621,804741,30741,120763,12,84,14740,4934363,3379326,497414,1665043,2.26,2.27,8.02,45.4,8.71,10.5,41.33,25.19,15.58,451152,6.36,102001,207689,4172,79969,512327,123191
2023-02-08,Finance,169550,123730,145791,126226,50013,137192,-14098,75311,195766,80339,830389,92117,88219,54,52,230770,424571,1719756,1945715,1670967,2.02,0.62,-24.01,13.47,10.21,10.76,77.79,45.4,14.19,365686,5.16,44514,274355,1933,99102,598625,261526
2023-02-09,Finance,307777,430073,146271,262987,140772,108690,-17201,271403,109787,-34755,47057,63564,84599,30,27,15725,4908407,3671505,280228,1910172,0.85,2.07,-2.23,13.68,13.4,-0.38,38.99,23.06,33.52,426279,5.96,155546,164891,3081,161651,701202,497418
2023-02-10,Finance,145265,351788,113106,240323,99445,95175,25023,197476,160345,50841,271507,188428,106499,15,17,98756,2985505,3355936,1602131,679856,0.48,1.23,26.47,47.45,-6.34,6.93,46.22,27.68,35.18,299601,2.6,188574,69133,4388,101628,70665,496308
2023-02-11,Finance,272406,78456,118611,40776,96500,188536,-14752,107403,113566,-12488,101595,63766,62875,84,63,1304,4727449,2695213,2295191,392374,0.81,1.48,22.0,2.24,20.97,7.67,14.28,45.21,8.27,22621,9.82,96407,161644,3793,38081,707051,41609
2023-02-12,Finance,112155,108332,66065,109679,89009,36957,12602,106384,84312,-23884,399943,77938,172572,104,43,-11794,2145225,1494112,1554627,1416546,0.49,3.29,9.35,3.7,10.78,9.31,53.6,16.92,38.22,219721,2.7,184708,164458,2145,37397,793867,324445
2023-02-13,Finance,411379,252633,177400,48967,56267,32230,121762,69740,79325,41536,478886,9106,16426,89,20,-73537,1789457,1355102,1624895,151593,0.83,2.1,21.73,48.91,21.63,0.07,71.81,45.93,26.74,242305,3.7,67867,130582,631,181372,103547,35201
2023-02-14,Finance,167745,400273,105985,122821,133569,149854,-11552,198201,176233,97701,752849,131166,168710,61,114,91830,235468,1126953,1333555,1580015,2.37,2.74,26.89,47.37,14.45,-3.72,42.53,27.38,30.21,235518,1.72,151030,176084,1165,160897,858169,343539
2023-02-15,Finance,140540,159782,26349,179316,48171,154803,41484,210446,106300,33535,98968,69969,50381,111,36,32633,1129565,965206,1170186,621671,2.55,3.04,-8.23,35.26,2.18,9.98,72.91,26.78,21.27,371526,9.49,87889,106036,3322,138644,520712,178094
2023-02-16,Finance,469028,207098,124834,20591,77249,145608,16942,177828,276704,75474,427212,123275,160494,49,79,182133,988974,1020618,328141,1649147,1.08,2.63,-9.0,14.96,-5.88,2.12,13.07,39.85,22.3,401357,4.74,192112,244725,3612,198348,480743,262684
2023-02-17,Finance,74814,115513,114173,228542,121688,196701,66261,185564,67411,51631,702020,61154,37935,98,12,33654,280365,1322388,1665277,1892964,2.15,1.63,0.89,27.82,20.33,15.36,17.32,27.5,33.3,499990,6.37,149978,163166,619,149740,448830,481126
2023-02-18,Finance,330511,518706,23432,14802,142748,52646,37343,110829,233813,-1236,456195,28202,12075,45,40,-47773,3915394,2347341,1937269,291735,2.34,3.39,13.42,33.21,20.93,9.2,77.85,20.57,6.47,147464,8.44,184919,168957,1495,45425,998398,113505
2023-02-19,Finance,478460,291274,159446,202032,123505,21312,56783,237446,276802,-34326,571821,26146,107992,20,44,58873,2766933,1034225,1652298,1629815,1.91,1.77,10.57,36.23,-5.3,1.93,37.12,48.84,16.41,360424,3.82,146542,23996,3655,81673,320961,140987
2023-02-20,Finance,264804,96455,85358,179427,59967,74991,83806,36209,158238,-33285,866206,105277,122711,27,117,127146,3806049,284804,139068,201588,1.04,3.22,-4.7,-6.52,-2.11,12.54,52.6,19.45,35.81,203142,9.03,22027,168084,2470,196572,122342,413986
2023-02-21,Finance,326216,63892,97780,261153,40192,182914,17107,176021,24406,29187,685118,133443,193487,75,59,88648,3657213,1039696,127455,301854,1.21,1.5,-29.04,16.0,22.03,12.41,67.7,8.53,37.93,429786,7.33,70570,289811,688,113192,819951,174644
2023-02-22,Finance,330687,435699,140778,161866,38306,133597,74954,186556,59838,-13692,341609,126387,66492,25,89,143048,4041645,474327,1969614,1703746,1.08,0.55,-20.49,-8.76,18.73,17.55,18.66,31.01,38.53,439452,1.09,110155,58358,189,199273,726459,106141
2023-02-23,Finance,412976,269516,33850,140065,139202,197072,46022,94706,298535,2183,125027,76047,117849,59,102,215975,2551544,3996227,932131,1251632,0.79,0.74,-15.38,10.4,19.16,9.59,62.13,26.92,31.26,456276,6.41,188739,243406,2189,151986,323882,426196
2023-02-24,Finance,142962,396200,27904,199438,30276,43420,89789,154348,292511,16077,235109,25835,15779,10,45,117708,3753053,1768869,879066,466359,2.84,2.95,14.49,15.83,0.19,-0.71,78.97,19.23,31.62,394159,6.66,157304,46960,3151,23864,784922,156579
2023-02-25,Finance,145834,477911,137637,112696,46521,199963,127899,218839,265713,-18228,530102,132999,10692,29,53,70839,3349602,2700717,939297,318858,1.42,2.3,21.57,2.93,23.04,3.49,36.72,27.73,21.0,49031,7.78,175336,122383,4626,82686,968639,373704
2023-02-26,Finance,50757,214231,93738,292372,44500,128550,15975,387457,176722,94972,431229,44006,132921,63,51,160701,3053235,3722950,938933,871033,2.04,1.36,2.57,4.2,-6.83,8.82,78.73,28.25,20.48,26662,6.27,157087,19819,4502,144029,847582,116706
2023-02-27,Finance,328094,329619,161434,129220,63621,148842,53347,318738,148699,30041,465333,21327,161695,103,22,70866,557650,1136021,1706448,415300,1.09,1.17,7.42,40.61,13.09,10.71,20.19,49.62,36.42,352051,8.12,182967,77933,2363,176971,86064,290922
2023-02-28,Finance,274211,278665,182797,23749,41455,64536,145630,40509,271049,54330,11628,132281,198348,109,114,181093,2514371,3143123,2545244,184629,2.01,1.77,26.35,8.23,3.19,7.47,51.49,25.08,23.32,302441,8.36,109842,143102,4944,121082,159812,255493
2023-03-01,Finance,496742,179101,193764,283094,61471,47500,100844,383201,20074,39863,436197,21617,173319,86,14,28907,2059309,1128682,1547116,1773201,2.21,0.64,-26.48,32.33,22.0,12.01,62.27,8.73,11.74,458109,7.95,108261,213125,4392,48854,715757,218537
2023-03-02,Finance,166607,454866,62681,214040,53562,17959,143026,378488,93229,31603,656136,135861,74125,33,72,-62376,4605904,1003707,1204522,1345319,1.4,1.81,11.96,39.23,21.41,-3.13,25.77,45.48,29.73,307987,4.59,162515,238092,1378,27373,284194,487780
2023-03-03,Finance,304309,547420,141186,27051,76905,47111,106160,76480,295900,17096,777836,70761,142075,37,70,-39488,2060734,3160638,823648,1900808,0.21,2.66,17.7,26.25,5.36,13.47,12.82,47.18,34.28,250226,5.95,167373,135923,2871,20757,454880,402526
2023-03-04,Finance,348560,160683,89780,106015,17970,142951,81927,37169,177470,77377,279169,139778,103708,45,13,189666,934163,3531452,1666666,94914,0.42,2.52,-4.59,21.02,20.35,2.83,61.01,15.06,27.2,155723,2.17,24914,250125,908,55625,279064,431289
2023-03-05,Finance,279319,473201,172179,153868,148901,6259,99716,340362,131886,46478,905614,66704,46739,11,41,284,4371734,2662233,430722,1801196,1.12,0.89,-12.53,32.45,-6.08,5.89,55.66,7.72,37.42,195574,3.92,168334,239448,537,186609,222295,249173
2023-03-06,Finance,246216,213837,20773,259230,55474,184693,3391,51739,270898,40002,32442,50183,27625,79,115,27617,2007109,2139438,2597653,233941,0.52,2.98,-18.4,-15.85,-5.89,1.69,68.38,19.8,32.96,193965,4.75,196113,121822,2863,24246,686112,91325
2023-03-07,Finance,257858,388133,156863,220115,123636,82988,142765,43238,64671,-25153,872258,26857,176104,43,117,211402,4878520,445971,2554428,138903,2.02,2.29,-13.76,-2.93,20.86,8.05,60.75,42.92,15.45,59257,4.15,188945,268527,779,109249,102522,331708
2023-03-08,Finance,151558,307957,104067,297276,39941,21743,-7084,32757,100040,93252,417198,5570,121681,46,89,221798,2249384,3697950,1109860,27562,2.51,0.98,16.97,12.92,24.05,-3.22,14.48,21.1,12.57,336445,3.63,36732,239525,3285,105903,535270,380970
2023-03-09,Finance,397999,339413,131988,283373,11757,107828,-13429,347604,99087,74900,95531,95467,22488,84,117,35069,2072266,1345329,2084891,1940893,1.31,0.9,-5.13,25.29,16.6,4.4,55.61,39.78,12.62,67552,2.04,66779,203187,4332,61000,734290,405728
2023-03-10,Finance,341083,320295,127084,16939,27054,162858,69690,136548,251874,44960,667716,118905,136136,107,106,74653,2890444,2676118,1323350,1670005,1.23,0.54,15.51,0.47,-2.43,2.85,25.99,47.86,5.42,259341,7.46,82900,63914,3237,119502,488751,187860
2023-03-11,Finance,353903,412607,22892,151230,63474,129526,99529,365959,38909,-29425,77470,81723,180230,19,117,11733,3217352,2143169,478536,1136510,1.63,1.91,9.39,-1.37,-0.95,17.99,62.88,11.9,23.05,471087,5.67,91500,282656,4609,162489,677549,54787
2023-03-12,Finance,303074,236066,145529,173640,87666,130343,129661,393154,160916,-28915,603780,92062,129642,14,102,75084,903052,635775,2434209,502535,2.8,2.4,25.44,37.28,-3.87,12.07,68.18,38.43,26.97,476473,5.0,124597,203102,1349,195165,522968,23537
2023-03-13,Finance,296152,378043,183166,208742,144941,42496,121009,245529,265913,-31530,40893,50935,138941,53,99,147373,1007949,591692,1746759,1215686,0.15,1.74,3.94,9.17,-6.34,8.56,73.77,10.55,31.28,324002,3.29,86551,9278,2099,152507,843063,101045
2023-03-14,Finance,286508,65883,159943,247447,146721,171391,148198,377258,183876,-18473,123804,157563,102605,26,15,299317,962856,2399669,952015,916137,1.23,2.98,-11.05,14.99,0.31,9.1,20.07,21.72,18.4,270229,3.54,91998,10126,4830,144075,354750,386355
2023-03-15,Finance,240690,511211,87489,280201,53915,111151,75043,366708,272748,57693,160000,71884,10530,35,63,-26585,1620720,3608563,728809,1161959,1.97,1.34,-21.56,-17.88,13.16,1.58,10.09,31.53,19.96,174834,7.91,71269,164678,774,93587,411421,87354
2023-03-16,Finance,363428,310618,65606,174253,68025,177726,67411,182805,104104,-13031,165526,59683,101700,11,60,270575,1852050,1018036,2816915,1936697,1.71,3.08,1.71,10.59,4.92,14.01,76.25,19.61,24.31,393002,7.07,103477,62539,1866,153612,180617,194722
2023-03-17,Finance,477350,195954,123415,112372,21357,198807,118069,109095,120709,86871,870442,57496,196506,37,69,-33196,3360921,1571941,327908,909040,2.93,2.37,18.11,-11.69,-9.39,9.29,78.42,21.78,30.39,44805,6.4,196791,281513,3898,184448,39906,224485
2023-03-18,Finance,449995,144457,150253,151662,93020,145496,-6115,271360,94535,69592,63707,60003,14720,107,108,153781,4387235,880734,132849,550311,2.49,1.12,16.02,37.25,-3.76,0.95,79.23,42.91,14.82,434060,8.21,167774,57098,4599,118956,913203,193909
2023-03-19,Finance,110640,73265,175773,264953,60901,136793,100644,160486,232204,78932,274722,134509,179036,51,11,271028,1327365,3961589,1529523,378576,0.75,1.58,28.07,21.5,1.2,14.44,53.51,25.15,39.96,435769,5.7,106985,48503,3194,38227,507195,303870
2023-03-20,Finance,206980,514993,194684,246806,8718,67917,-1667,100086,231861,92287,232755,196004,22845,76,13,-26888,4629426,1462275,904534,870100,0.35,2.96,1.39,-8.52,21.08,14.73,39.45,6.97,22.84,475106,7.01,16860,67045,2127,53582,913786,195629
2023-03-21,Finance,439944,536320,186550,283035,36661,53605,116300,118350,48507,67745,303395,121332,69381,93,33,112795,293407,1720298,1547853,1690564,1.62,2.24,-26.19,6.2,19.87,4.81,32.19,16.07,18.42,225323,8.7,160670,54894,264,77467,118740,96169
2023-03-22,Finance,174624,446279,34962,48978,128522,148685,44174,362185,28452,-39473,741917,76963,8654,22,93,37565,298765,2209986,1070170,1864486,1.86,2.65,-4.83,-10.91,23.55,-0.79,49.07,17.36,5.71,303401,3.19,172734,291136,4970,32010,534094,156225
2023-03-23,Finance,330757,474599,40267,193354,26118,112216,86909,143081,56737,-11071,793959,97688,110743,35,112,183177,4164302,2011548,2279906,516657,0.26,1.03,-22.28,29.93,16.58,-1.29,37.37,9.68,27.22,373050,9.52,139350,64698,1349,152639,472674,166587
2023-03-24,Finance,468857,264677,98188,180194,117289,20015,136065,101649,117030,62909,352762,68662,105863,119,33,271391,438560,785580,2020568,1560842,0.52,1.89,-1.26,47.28,15.11,18.46,37.69,38.0,31.55,24747,5.85,83504,148687,534,32724,594697,118114
2023-03-25,Finance,403786,123350,124760,75837,29089,180860,99807,197727,222015,32481,195135,137640,157342,36,96,258039,1823732,2271931,2285943,1635638,2.67,1.47,-11.83,25.18,5.14,6.43,29.56,10.29,35.47,33077,3.71,145692,298206,2502,44703,642688,211299
2023-03-26,Finance,338839,79599,150810,131213,76307,13924,120257,177818,265114,4679,241049,11281,35035,90,116,5909,2904850,1772496,2888346,534738,0.47,1.09,-20.42,14.11,2.79,16.02,65.91,17.37,20.77,355626,4.28,120852,102358,2759,53090,951723,212541
2023-03-27,Finance,60064,317421,183234,138216,59591,83424,-11399,322106,194734,14323,683007,163114,168753,74,103,268110,2452296,889368,2692079,56486,0.41,2.53,-11.91,7.76,10.13,2.35,19.17,23.95,16.51,108710,8.86,78169,12365,4139,178745,904713,333566
2023-03-28,Finance,381198,371117,143050,213920,46194,93540,8085,120686,277412,23172,805303,110352,134712,37,22,157405,2560352,3988864,374308,687308,1.75,1.45,-2.96,48.32,13.67,-2.7,18.36,19.37,37.38,496262,4.97,183365,14412,1234,163595,282453,228348
2023-03-29,Finance,132758,253534,132901,118222,137958,183377,38634,289047,184613,62600,966067,89769,127790,81,89,191267,2073052,3745633,2653825,273715,2.14,1.63,-3.93,40.74,22.92,0.06,53.31,23.06,29.32,262045,8.31,168867,77862,1494,141734,629492,261075
2023-03-30,Finance,288252,345349,190913,123985,75515,7503,141155,152248,85716,-35296,275338,13114,170193,41,42,-22093,1726266,315136,2257861,1978897,2.79,3.08,7.8,-15.27,0.66,4.57,22.71,6.12,16.63,363572,7.01,23484,56820,1408,77631,402993,145887
2023-03-31,Finance,66778,264191,147057,124386,129413,154531,126348,353614,62995,-40481,419098,119960,44241,98,65,101340,4025913,974022,1164424,158634,2.37,1.06,-25.96,0.49,16.26,-2.58,38.51,44.21,22.29,319508,3.6,80481,224440,1666,171665,659637,115513
2023-04-01,Finance,411227,541277,49985,298979,38806,21036,101906,68760,35292,64812,798562,108297,187054,116,25,60693,175112,2503088,565462,643364,0.4,1.66,29.76,23.11,24.21,14.45,55.1,19.19,22.65,77204,3.07,27925,176700,3285,82408,495192,50752
2023-04-02,Finance,387783,315921,121023,119144,65585,129682,75051,79044,256370,-5826,613923,12131,62233,21,97,181543,2181938,412094,2849167,1896024,0.8,3.41,0.49,9.12,13.91,2.49,14.05,38.21,6.94,476230,3.91,193065,238109,2764,74231,925056,119466
2023-04-03,Finance,305575,457406,22863,271940,44624,87906,49708,369025,38664,-45385,330592,44266,80738,118,112,299799,4567683,109545,360685,343370,2.38,1.8,10.32,29.42,7.9,3.1,44.53,23.01,9.01,276836,2.41,185214,49634,1511,91504,223179,205566
2023-04-04,Finance,95091,184868,88238,175098,118021,37480,66697,129587,248107,11026,760942,128230,108335,62,38,23193,2251522,3487133,2177166,286780,1.03,1.66,24.88,22.86,2.21,-0.92,29.66,10.2,33.27,446108,4.28,10817,257307,3180,193888,163740,247740
2023-04-05,Finance,354883,430639,104644,24482,114971,36325,-7337,331614,77955,55697,652984,31629,9542,71,42,-50130,2330353,2905364,1286316,580748,0.61,3.43,6.55,14.45,16.46,3.23,71.09,47.06,12.06,14398,2.9,54177,88665,3247,104156,600052,318370
2023-04-06,Finance,199287,186183,102113,203727,80381,124473,125722,193207,146143,8047,316586,148264,75950,79,101,48962,501260,1289448,2023791,1134916,2.92,1.77,-26.57,23.61,2.95,13.87,70.43,16.02,5.52,300348,1.07,68495,76700,1222,143092,233953,354244
2023-04-07,Finance,171049,230019,199176,267475,80329,155947,95256,334805,94398,33,12622,16828,173659,109,54,149271,2193571,1708374,2705076,1467106,2.58,1.49,3.13,24.11,11.97,10.74,19.92,37.45,26.53,274466,4.2,116009,296654,2299,82629,353945,460680
2023-04-08,Finance,196835,340529,47433,139909,108201,150036,18583,216969,41132,-1195,813261,67361,33264,81,23,-24195,550653,2564816,1621465,1084997,0.78,1.64,15.94,28.69,24.51,3.63,35.56,23.51,12.16,160314,5.02,13959,275635,1141,164165,64823,254366
