date,cash_inflow,opex,capex,cash_outflow,cost_per_employee,AP,AR,net_cash,cash_balance
12/15/2025,20394.25,142746.96,116389.85,141365.55,100904.08,501406.44,62103,-120971.3,-2743483.18
12/16/2025,25870.72,146327.78,115709.51,139999.43,100670.46,502707.18,76493,-114128.71,-2857611.89
12/17/2025,13682.02,141121.48,115184.76,139326.18,101281.94,496914.36,105018,-125644.16,-2983256.05
12/18/2025,30588.59,139936.92,115909.71,140890.04,101365.34,498102.01,122592,-110301.45,-3093557.5
12/19/2025,10296.2,143231.9,116650.45,140834.78,101007.73,501724.86,90351,-130538.58,-3224096.08
12/20/2025,18782.22,143607.7,116304.09,141655.98,101356.82,502924.59,112275,-122873.76,-3346969.84
12/21/2025,0,142521.22,116042.58,139612.51,101215.15,499391.46,134502,-139612.51,-3486582.35
12/22/2025,16227.73,141589.53,116298.96,139757.13,101199.21,498844.83,93367,-123529.4,-3610111.75
12/23/2025,21271.48,143489.98,115916.2,139814.22,101152.59,500372.99,128652,-118542.74,-3728654.49
12/24/2025,33041.63,142780.54,115385,139490.09,100834.23,498489.86,121038,-106448.46,-3835102.95
12/25/2025,0,142294.22,115830.34,139765.95,99740.34,497630.85,81130,-139765.95,-3974868.9
12/26/2025,6995.56,142948.34,115552.99,140385.59,100842.14,499729.06,121373,-133390.03,-4108258.93
12/27/2025,20938.45,143648.02,115989.9,139050.68,101237.66,499926.26,99061,-118112.23,-4226371.16
12/28/2025,33129.47,143367.82,115243.76,139258.14,100423.48,498293.2,75403,-106128.67,-4332499.83
12/29/2025,21863.32,143636.47,114988.85,139094.83,100257.33,497977.48,121180,-117231.51,-4449731.34
12/30/2025,0,143265.27,115309.5,139198.39,100448.31,498221.47,116503,-139198.39,-4588929.73
12/31/2025,51553.34,142992.72,116394.12,140381.82,101051.95,500820.61,138244,-88828.48,-4677758.21
1/1/2026,56289.87,142875.27,115174.2,140002.56,100882.97,498935,103900,-83712.69,-4761470.9
1/2/2026,44896.67,143096.43,114697.74,138804.8,101101.8,497700.77,110751,-93908.13,-4855379.03
1/3/2026,58710.39,143773.35,115336.17,139386.44,100857.87,499353.83,93230,-80676.05,-4936055.08
1/4/2026,79650.9,143450.01,116053.94,139949.97,100880.65,500334.57,65098,-60299.07,-4996354.15
1/5/2026,34059.87,142764.65,115939.23,140341.73,101319.03,500364.64,57564,-106281.86,-5102636.01
1/6/2026,54459.41,143486.71,115320.51,138736.86,100509.36,498053.44,138169,-84277.45,-5186913.46
1/7/2026,19304.03,143547.07,115656.46,139004.09,101248.19,499455.81,61573,-119700.06,-5306613.52
1/8/2026,125456.02,143852.14,115928.1,138664.56,101340.58,499785.38,122596,-13208.54,-5319822.06
1/9/2026,60994.5,139890.23,115547.48,138484.11,100337.93,494259.75,122917,-77489.61,-5397311.67
1/10/2026,119014.4,142440.68,116259.97,140460.81,100956.67,500118.13,144239,-21446.41,-5418758.08
1/11/2026,68085.42,143474.58,116068.23,139766.39,101098.87,500408.07,118519,-71680.97,-5490439.05
1/12/2026,91751.06,142409.44,115971.56,138360.83,101075.1,497816.93,116275,-46609.77,-5537048.82
1/13/2026,103576.75,140990.18,115400.41,139698.68,100544.19,496633.46,167951,-36121.93,-5573170.75
1/14/2026,92664.35,142531.43,114863.71,139259.65,100328.65,496983.44,79257,-46595.3,-5619766.05
1/15/2026,21486.83,143722.62,115167.97,138865.14,100411.08,498166.81,111926,-117378.31,-5737144.36
1/16/2026,110056.5,143281.73,116537.09,140227.53,101376.81,501423.16,88244,-30171.03,-5767315.39
1/17/2026,54556.96,142079.67,115941.04,139689.95,101473.37,499184.03,137592,-85132.99,-5852448.38
1/18/2026,117786.9,143512.21,115200.31,138615.6,101046.06,498374.18,90382,-20828.7,-5873277.08
1/19/2026,83971.28,143650.09,115920.46,139510.76,101251.62,500332.93,88497,-55539.48,-5928816.56
1/20/2026,19625.67,143279.8,116398.12,139906.6,101413.97,500998.49,108547,-120280.93,-6049097.49
1/21/2026,78288.22,142172.95,115968.31,139586.62,101385.94,499113.82,135935,-61298.4,-6110395.89
1/22/2026,70611.37,142782.39,115391.12,138711.45,101124.64,498009.6,92345,-68100.08,-6178495.97
1/23/2026,76181.88,143104.24,115847.13,138394.09,101510.51,498855.97,74538,-62212.21,-6240708.18
1/24/2026,87962.92,143867.3,115577.52,137859.58,101267.57,498571.97,100154,-49896.66,-6290604.84
1/25/2026,118522.87,140939.04,115584.92,139991.91,100976.01,497491.88,67682,-21469.04,-6312073.88
1/26/2026,66818.18,141197.97,116515.77,141373.9,101739.9,500827.54,105200,-74555.72,-6386629.6
1/27/2026,86406.62,142052.35,116037.4,140466.22,101381.63,499937.6,97201,-54059.6,-6440689.2
1/28/2026,80091.64,143119.1,116035.61,139725.77,101691.63,500572.11,,-59634.13,-6500323.33
1/29/2026,85972.48,142573.32,115741.78,140272.66,101328.56,499916.32,,-54300.18,-6554623.51
1/30/2026,153257.43,141581.4,115040.96,140046.49,100938.24,497607.09,,13210.94,-6541412.57
1/31/2026,104471.08,142191,115391.4,140109.69,101144.16,498836.25,,-35638.61,-6577051.18
2/1/2026,81542.34,142961.31,116823.47,140498.65,101712.31,501995.74,,-58956.31,-6636007.49
2/2/2026,99809.82,143962.04,115970.58,139901.18,101556.04,501389.84,,-40091.36,-6676098.85
2/3/2026,83161.71,142951.19,114815.46,139255.94,101576.43,498599.02,,-56094.23,-6732193.08
2/4/2026,44038.19,142508.42,115671.08,139815.43,101482.39,499477.32,,-95777.24,-6827970.32
2/5/2026,101851.58,143062.62,115811.73,139889.35,101352.49,500116.19,,-38037.77,-6866008.09
2/6/2026,10897.49,141846.91,115643.21,139866.09,101663.01,499019.22,,-128968.6,-6994976.69
2/7/2026,68397.61,142191.32,115409.26,139134.86,101384.16,498119.6,,-70737.25,-7065713.94
2/8/2026,167244.29,141845.84,115738.26,138085.55,101697.74,497367.39,,29158.74,-7036555.2
2/9/2026,30989.84,143490.63,115932.22,137537.35,101546.89,498507.09,,-106547.51,-7143102.71
2/10/2026,71150.21,142061.62,115557.74,139334.47,101302.5,498256.33,,-68184.26,-7211286.97
2/11/2026,76690.23,141248.94,116398.01,140469.53,101501.89,499618.37,,-63779.3,-7275066.27
2/12/2026,70940.41,142068.52,115907.58,139009.2,101268.17,498253.47,,-68068.79,-7343135.06
2/13/2026,88944.94,143421.79,115832.51,138965.98,101528.6,499748.88,,-50021.04,-7393156.1
2/14/2026,34397.75,143092.45,115352.13,138796.75,100948.47,498189.8,,-104399,-7497555.1
2/15/2026,85714.22,141028.76,114826.34,138392.92,100575,494823.02,,-52678.7,-7550233.8
2/16/2026,63716.46,140703.22,115326.27,138842.34,101116.22,495988.05,,-75125.88,-7625359.68
2/17/2026,48217,143500.15,116589.35,139543.87,101404.37,501037.74,,-91326.87,-7716686.55
2/18/2026,116578.66,144765.69,115537.99,138737.75,101582.71,500624.14,,-22159.09,-7738845.64
2/19/2026,64118.34,142152.99,114909.4,137591.79,101989.21,496643.39,,-73473.45,-7812319.09
2/20/2026,42801.22,141084.47,115521.52,138641.13,101440.06,496687.18,,-95839.91,-7908159
2/21/2026,72001.56,142132.42,116115.92,138932.14,101398.03,498578.51,,-66930.58,-7975089.58
2/22/2026,42863.03,141947.9,115892.98,138509.27,101600.61,497950.76,,-95646.24,-8070735.82
2/23/2026,71375.45,142152.99,115411.81,137514.92,101424.85,496504.57,,-66139.47,-8136875.29
2/24/2026,0,141926.04,115888.34,136897.51,101922.66,496634.55,,-136897.51,-8273772.8
2/25/2026,91897.77,142923.95,115671.44,135856.92,101618.2,496070.51,,-43959.15,-8317731.95
2/26/2026,16481.32,143513.16,116341.83,139750.96,101167.41,500773.36,,-123269.64,-8441001.59
2/27/2026,12496.12,144165.54,116798.55,141336.54,101640.66,503941.29,,-128840.42,-8569842.01
2/28/2026,0,143555.33,115878.16,139824.85,101321.28,500579.62,,-139824.85,-8709666.86
3/1/2026,0,142774.86,115671.43,139091.53,101136.96,498674.78,,-139091.53,-8848758.39
3/2/2026,20210.97,140626.67,115292.24,138803.62,100597.66,495320.19,,-118592.65,-8967351.04
3/3/2026,21143.58,140825.67,114892.68,138820.78,100835.51,495374.64,,-117677.2,-9085028.24
3/4/2026,23284.2,143237.06,115089.4,138397.87,101120.2,497844.53,,-115113.67,-9200141.91
3/5/2026,18224.89,143193.07,116313.87,139767.89,101480.12,500754.95,,-121543,-9321684.91
3/6/2026,37246.88,143039.06,115565.6,138813.85,101451.77,498870.28,,-101566.97,-9423251.88
3/7/2026,37507.74,143356.02,115027.83,137791.92,101495.96,497671.73,,-100284.18,-9523536.06
3/8/2026,36399.8,142805.2,115897.71,138648.04,101440.15,498791.1,,-102248.24,-9625784.3
3/9/2026,5468.79,142991.29,116287.47,138385.38,101255.39,498919.53,,-132916.59,-9758700.89
3/10/2026,0,141872.83,116120,138543.63,101489.19,498025.65,,-138543.63,-9897244.52
3/11/2026,44350.52,141966.56,115716.77,138714.43,101346.07,497743.83,,-94363.91,-9991608.43
3/12/2026,0,141682.87,115995.1,136910.39,101552.9,496141.26,,-136910.39,-10128518.82
3/13/2026,34193.95,142801.46,115581.95,136437.89,101171.55,495992.85,,-102243.94,-10230762.76
3/14/2026,0,141468.49,115843.5,139417.38,101378.2,498107.57,,-139417.38,-10370180.14
3/15/2026,25514.4,142022.85,116698.62,140809.31,101627.71,501158.49,,-115294.91,-10485475.05
3/16/2026,12591.07,142405.61,116329.84,139997.62,101093.24,499826.31,,-127406.55,-10612881.6
3/17/2026,28613.09,143452.13,116236.01,139019.89,101094.55,499802.58,,-110406.8,-10723288.4
3/18/2026,32944.38,142126.18,115930.67,139319.33,100858.45,498234.63,,-106374.95,-10829663.35
3/19/2026,54062.61,141028.81,115376.72,138683.08,101038.21,496126.82,,-84620.47,-10914283.82
3/20/2026,0,142121.75,115567.12,138514.39,100990.14,497193.4,,-138514.39,-11052798.21
3/21/2026,30689.86,142577.79,116933.72,140490.85,101105.84,501108.2,,-109800.99,-11162599.2
3/22/2026,3620.29,142470.79,115919.73,139196.87,100845.61,498433,,-135576.58,-11298175.78
3/23/2026,16059.56,142853.32,115169.22,138079.39,101402.59,497504.52,,-122019.83,-11420195.61
3/24/2026,26362.11,142670.67,115943.71,139903.95,101204.2,499722.53,,-113541.84,-11533737.45
3/25/2026,24425.76,143316.67,116204.97,138857.2,100980.45,499359.29,,-114431.44,-11648168.89
3/26/2026,0,142443.97,116056.57,138876.92,101267.69,498645.15,,-138876.92,-11787045.81
3/27/2026,44528.52,142369.77,115645.67,138778.51,100998.04,497791.99,,-94249.99,-11881295.8
3/28/2026,26403.1,142392.67,116214.96,137816.41,101155.61,497579.65,,-111413.31,-11992709.11
3/29/2026,1814.01,144032.69,115943.86,136942.46,100941.37,497860.38,,-135128.45,-12127837.56
3/30/2026,0,142579.96,116133.72,139783.68,101339.81,499837.17,,-139783.68,-12267621.24
3/31/2026,28726.94,142507.32,116676.72,141220.34,101624.44,502028.82,,-112493.4,-12380114.64
4/1/2026,37724.26,142687.63,116196.86,139947.21,101290.66,500122.36,,-102222.95,-12482337.59
4/2/2026,30688.17,143998.32,116114.21,139228.51,101180.32,500521.36,,-108540.34,-12590877.93
4/3/2026,31011.79,143206.64,116015.57,140170.01,100816.89,500209.11,,-109158.22,-12700036.15
4/4/2026,48057.46,141548.4,115237.58,139392.91,100595.29,496774.18,,-91335.45,-12791371.6
4/5/2026,18110.61,142030.06,115235.79,139096.13,100923.85,497285.83,,-120985.52,-12912357.12
4/6/2026,33190.97,142925.57,116049.99,140682.15,101028.78,500686.49,,-107491.18,-13019848.3
4/7/2026,0,143363.16,115189.1,139809,101118.55,499479.81,,-139809,-13159657.3
4/8/2026,36525.18,142166.96,114682.45,138578.28,101469.71,496897.4,,-102053.1,-13261710.4
4/9/2026,41621.03,141964.13,115573.16,138673.98,101361.97,497573.24,,-97052.95,-13358763.35
4/10/2026,35448,142448.71,116292.57,139117.53,101200.5,499059.31,,-103669.53,-13462432.88
4/11/2026,0,141853.34,116068.33,139045.34,101253.02,498220.03,,-139045.34,-13601478.22
4/12/2026,41997.01,141913.6,115503.75,137438.89,101311.23,496167.47,,-95441.88,-13696920.1
4/13/2026,32346.91,141930.12,115668.37,136968.96,101711.32,496278.77,,-104622.05,-13801542.15
4/14/2026,31431,143102.75,115749.39,136990.47,101230.6,497073.21,,-105559.47,-13907101.62
4/15/2026,0,143608.35,115593.9,138887.76,101531.88,499621.89,,-138887.76,-14045989.38
4/16/2026,34726.39,143748.79,116579.71,140048.69,101733.91,502111.1,,-105322.3,-14151311.68
4/17/2026,42300.44,143603.85,115805.05,139152.5,101415.22,499976.62,,-96852.06,-14248163.74
4/18/2026,13628.67,144117.26,115735.27,138419.43,101452.88,499724.84,,-124790.76,-14372954.5
4/19/2026,0,142816.96,115490.83,138310.82,101036.51,497655.12,,-138310.82,-14511265.32
4/20/2026,34503.22,141633.81,114707.6,137925.48,100929.53,495196.42,,-103422.26,-14614687.58
