Invoice No.,Invoice Date,Due Date,Supplier Name,Service Description,Amount (AED),Payment Status,VAT TRN,VAT %,Paid Date,Notes
AP-2031,2025-03-16,2025-10-14,Blue Sky IT Systems,Cloud Hosting,9100,Not paid,TRN11234,5,,
AP-2032,2025-03-18,2025-09-13,Emirates Logistics FZC,Cold Chain Delivery,18500,Overdue,TRN88901,5,,
AP-2033,2025-03-20,2025-09-24,Desert Catering Services,Corporate Meals,8600,Paid,TRN99012,5,2025-09-23,
AP-2034,2025-03-22,2025-10-09,Al Noor Stationery,Office Equipment,12200,Not paid,TRN22345,5,,
AP-2035,2025-03-24,2025-09-21,MedCare Pharma LLC,Vaccine Supply,17400,Overdue,TRN33456,5,,
AP-2036,2025-03-26,2025-09-27,Gulf Tech Solutions LLC,Hardware Maintenance,21000,Paid,TRN77890,5,2025-09-26,
AP-2037,2025-03-28,2025-10-11,Arabian Construction Co.,Manpower Services,26700,Not paid,TRN10123,5,,
AP-2038,2025-03-30,2025-09-20,Blue Sky IT Systems,Database Support,10500,Overdue,TRN11234,5,,
AP-2039,2025-04-01,2025-09-22,Emirates Logistics FZC,Last Mile Delivery,11900,Paid,TRN88901,5,2025-09-21,
AP-2040,2025-04-03,2025-10-07,Desert Catering Services,Canteen Management,7300,Not paid,TRN99012,5,,
AP-2041,2025-04-05,2025-09-15,Al Noor Stationery,Office Consumables,4100,Overdue,TRN22345,5,,
AP-2042,2025-04-07,2025-09-26,MedCare Pharma LLC,Medical Equipment,28500,Paid,TRN33456,5,2025-09-25,
AP-2043,2025-04-09,2025-10-03,Gulf Tech Solutions LLC,Cybersecurity Services,25900,Not paid,TRN77890,5,,
AP-2044,2025-04-11,2025-09-12,Arabian Construction Co.,Renovation Works,31200,Overdue,TRN10123,5,,
AP-2045,2025-04-13,2025-09-25,Blue Sky IT Systems,Tech Support,9900,Paid,TRN11234,5,2025-09-24,
AP-2046,2025-04-15,2025-10-06,Emirates Logistics FZC,Port Handling,17800,Not paid,TRN88901,5,,
AP-2047,2025-04-17,2025-09-18,Desert Catering Services,Pantry Supply,6200,Overdue,TRN99012,5,,
AP-2048,2025-04-19,2025-09-23,Al Noor Stationery,Printers & Cartridges,7600,Paid,TRN22345,5,2025-09-22,
AP-2049,2025-04-21,2025-10-10,MedCare Pharma LLC,Diagnostics Equipment,29600,Not paid,TRN33456,5,,
AP-2050,2025-04-23,2025-09-17,Gulf Tech Solutions LLC,Network Security,31000,Overdue,TRN77890,5,,
